date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask_7d,smoothed_wtravel_outside_state_7d,smoothed_wspent_time_indoors_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
2021-11-20,202146,UT,49,-2.0,1.0,16.0,-9.857142857142860,-19.0,4.571428571428570,174.24714285714300,515.0,1.0,2038173.0,1631947.0,80.03002164285720,21.53265664285710,40.09072704285710,12.104340842857100,53.99852424285720,8.2,458.3333333333330,78.33333333333330,3428.0,81.0,2.041405842857140,2.0693010857142900,582929.0,11422.0,74176.0,9614.0,84060.0
2021-11-27,202147,UT,49,-6.285714285714290,5.142857142857140,26.142857142857100,-16.142857142857100,-39.285714285714300,8.0,165.19142857142900,484.0,0.0,2041421.0,1633430.0,81.38534334285720,19.943962285714300,40.49453917142860,12.261321485714300,54.51231252857140,8.5,449.6666666666670,65.66666666666670,3487.0,59.0,1.5862677285714300,1.6331276857142900,592130.0,9201.0,64002.0,7748.0,72080.0
2021-12-04,202148,UT,49,-2.857142857142860,0.14285714285714300,20.714285714285700,-11.0,-19.0,4.571428571428570,173.63000000000000,515.0,5.0,2085759.0,1658083.0,82.8917582142857,14.154897414285700,39.93171948571430,15.962840871428600,55.90038612857140,10.6,482.0,95.0,3564.0,77.0,1.9303440857142900,1.9303440857142900,601952.0,9822.0,77008.0,9186.0,86474.0
2021-12-11,202149,UT,49,-3.142857142857140,0.42857142857142900,1.1428571428571400,-15.571428571428600,-17.857142857142900,5.285714285714290,171.61142857142900,485.0,2.0,2113432.0,1701471.0,84.34685575714290,14.93421557142860,43.17246357142860,14.126718257142900,52.96666652857140,10.1,493.3333333333330,105.33333333333300,3640.0,76.0,2.2800361714285700,2.3518493571428600,610681.0,8729.0,69892.0,7615.0,77723.0
2021-12-18,202150,UT,49,0.8571428571428570,3.857142857142860,-3.0,-10.428571428571400,-19.714285714285700,5.285714285714290,185.27857142857100,451.0,4.0,2131735.0,1730263.0,82.99040872857140,13.863509400000000,39.44165401428570,10.877914914285700,55.70652618571430,7.9,463.0,70.0,3704.0,64.0,1.6038656142857100,1.7614928857142900,617697.0,7016.0,69435.0,6613.0,76280.0
2021-12-25,202151,UT,49,-2.4285714285714300,8.142857142857140,4.857142857142860,-18.571428571428600,-43.714285714285700,8.285714285714290,165.1642857142860,426.0,7.0,2144450.0,1746529.0,82.55741600000000,12.257460914285700,41.71467701428570,11.86163077142860,55.30679957142860,7.0,478.6666666666670,83.66666666666670,3754.0,50.0,1.7180820714285700,1.7799360714285700,623703.0,6006.0,72789.0,9588.0,82633.0
2022-01-01,202152,UT,49,-7.714285714285710,-5.285714285714290,-7.571428571428570,-22.714285714285700,-46.714285714285700,12.0,171.11000000000000,481.0,6.0,2160299.0,1763670.0,96.23919507142860,14.753332,49.80846714285720,14.7587908,62.610340285714300,9.6,468.3333333333330,69.33333333333330,3787.0,33.0,3.651928585714290,3.831579614285710,636992.0,13289.0,70398.0,19921.0,90688.0
2022-01-08,202201,UT,49,-11.0,-3.7142857142857100,-11.0,-20.285714285714300,-23.142857142857100,8.285714285714290,165.2242857142860,648.0,2.0,2176790.0,1782068.0,84.628731,19.097783085714300,46.72001055714290,14.175598457142900,49.2918459,21.0,508.0,106.0,3887.0,100.0,5.085979571428570,5.169182957142860,682036.0,45044.0,96905.0,47027.0,144771.0
2022-01-15,202202,UT,49,-13.142857142857100,-5.142857142857140,-3.0,-22.0,-24.142857142857100,8.285714285714290,163.11285714285700,920.0,2.0,2192736.0,1799493.0,83.81262592857150,27.768534671428600,52.89927851428570,12.236994085714300,46.51074801428570,27.3,468.0,65.0,3951.0,64.0,5.1961139,5.367907414285710,750334.0,68298.0,90470.0,54756.0,146154.0
2022-01-22,202203,UT,49,-13.0,-7.0,-0.14285714285714300,-23.428571428571400,-28.428571428571400,8.857142857142860,162.50142857142900,1173.0,5.0,2213501.0,1812860.0,83.96486462857140,35.69555544285710,60.582356542857100,9.370934557142860,42.67867257142860,29.5,514.6666666666670,109.66666666666700,4030.0,79.0,5.194750328571430,5.451827214285710,825989.0,75655.0,87942.0,56109.0,145164.0
