epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202125,MD,24,-6.285714285714286,0.7142857142857143,103.28571428571429,-30.285714285714285,-30.285714285714285,6.0,126.0,12.0,3686966.0,3072973.0,1.0,909.6666666666665,0.0,9734.0,27.0,462078.0,381.0,100685.0,902.0,101622.0
202126,MD,24,-5.857142857142857,2.7142857142857144,92.71428571428571,-29.714285714285715,-30.714285714285715,6.0,111.0,2.0,3763074.0,3153795.0,0.8,975.0,0.0,9749.0,15.0,462535.0,457.0,92935.0,914.0,93889.0
202127,MD,24,-7.285714285714286,1.5714285714285714,114.57142857142857,-31.428571428571427,-35.714285714285715,7.142857142857143,135.0,0.0,3793956.0,3191167.0,1.3,881.3333333333335,0.0,9762.0,13.0,463107.0,572.0,85892.0,1323.0,87240.0
202128,MD,24,-5.857142857142857,2.142857142857143,91.42857142857143,-30.285714285714285,-29.142857142857142,6.285714285714286,125.0,0.0,3828835.0,3226614.0,1.8,934.3333333333335,0.0,9780.0,20.0,464031.0,924.0,93421.0,2160.0,95599.0
202129,MD,24,-4.714285714285714,2.857142857142857,111.71428571428571,-27.857142857142858,-28.714285714285715,5.857142857142857,169.0,1.0,3867428.0,3260224.0,2.1,924.6666666666665,0.0,9806.0,26.0,465643.0,1612.0,106396.0,3814.0,110246.0
202130,MD,24,-6.0,2.0,100.57142857142857,-28.714285714285715,-28.428571428571427,5.857142857142857,277.0,1.0,3914288.0,3291221.0,3.9,951.3333333333335,0.0,9825.0,19.0,468548.0,2905.0,121651.0,6794.0,128518.0
202131,MD,24,-6.0,1.7142857142857142,94.57142857142857,-29.285714285714285,-29.571428571428573,6.285714285714286,382.0,1.0,3964963.0,3319065.0,5.4,943.6666666666665,0.0,9849.0,24.0,473116.0,4568.0,144806.0,11279.0,156166.0
202132,MD,24,-7.142857142857143,0.8571428571428571,80.42857142857143,-29.857142857142858,-29.857142857142858,6.285714285714286,524.0,0.0,4014946.0,3349289.0,8.1,961.3333333333335,1.3333333333333333,9887.0,38.0,479083.0,5967.0,159820.0,13956.0,173920.0
202133,MD,24,-7.0,-0.14285714285714285,76.71428571428571,-29.714285714285715,-30.0,6.714285714285714,629.0,1.0,4059569.0,3383833.0,9.4,925.0,0.0,9938.0,51.0,485978.0,6895.0,174907.0,15587.0,190687.0
202134,MD,24,-7.142857142857143,0.0,74.28571428571429,-30.285714285714285,-29.142857142857142,6.285714285714286,700.0,0.0,4105299.0,3423023.0,10.0,975.0,18.0,9983.0,53.0,493915.0,7937.0,198447.0,17198.0,215942.0
