epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr,symptom:Fever,symptom:Low-grade fever,symptom:Cough,symptom:Sore throat,symptom:Headache,symptom:Fatigue,symptom:Vomiting,symptom:Diarrhea,symptom:Shortness of breath,symptom:Chest pain,symptom:Dizziness,symptom:Confusion,symptom:Generalized tonic–clonic seizure,symptom:Weakness,ili
202127,NC,37,-6,7.142857143,71,-8.142857143,-32.14285714,5.571428571,331,3,5164036,4447271,,1932.333333,104.3333333,13483,49,1017435,3076,86951,3857,90851,2.954285714,0.127142857,4.217142857,1.678571429,3.918571429,4.198571429,2.717142857,4.661428571,0.618571429,1.271428571,1.658571429,0.215714286,0.17,0.385714286,0.943103
202128,NC,37,-2.285714286,8.285714286,61,-5.142857143,-23.28571429,3.428571429,471,8,5212023,4495587,,1975.666667,156.6666667,13523,40,1022876,5441,100918,6288,107256,3.114285714,0.138571429,4.32,1.682857143,4.097142857,4.358571429,2.808571429,4.258571429,0.642857143,1.297142857,1.774285714,0.224285714,0.18,0.395714286,1.05595
202129,NC,37,-3,7.571428571,57.71428571,-6,-23.57142857,4,745,8,5269373,4538172,,1998.333333,177.3333333,13570,47,1031929,9053,121286,11724,133158,3.37,0.164285714,4.691428571,1.725714286,4.122857143,4.395714286,2.781428571,4.201428571,0.638571429,1.305714286,1.731428571,0.222857143,0.174285714,0.39,1.26701
202130,NC,37,-2.857142857,9,55.85714286,-6.285714286,-23.14285714,4.142857143,1043,10,5356957,4584126,,1966.333333,148.3333333,13635,65,1048076,16147,162607,20570,183311,3.582857143,0.198571429,4.954285714,1.861428571,4.17,4.364285714,2.782857143,4.142857143,0.675714286,1.337142857,1.807142857,0.221428571,0.175714286,0.398571429,1.4793
202131,NC,37,-3.714285714,9.142857143,46.85714286,-7.142857143,-24.42857143,4.571428571,1460,5,5452158,4623799,,2141.666667,322.6666667,13736,101,1071137,23061,207274,28587,236097,3.741428571,0.221428571,5.162857143,1.895714286,4.224285714,4.378571429,2.738571429,4.091428571,0.701428571,1.364285714,1.731428571,0.217142857,0.18,0.401428571,1.67357
202132,NC,37,-3.857142857,8.428571429,49.85714286,-7.142857143,-24.28571429,4.142857143,2081,15,5552095,4670619,,2112.666667,295.6666667,13826,90,1107414,36277,236999,36133,273517,3.917142857,0.237142857,5.218571429,1.898571429,4.237142857,4.66,2.777142857,4.222857143,0.725714286,1.392857143,1.8,0.22,0.172857143,0.405714286,1.73927
202133,NC,37,-3.571428571,8,32.57142857,-8.714285714,-23.85714286,4.428571429,2409,10,5664872,4734423,,2270.666667,450.6666667,14059,233,1144894,37480,265729,40766,307028,3.882857143,0.234285714,5.16,1.88,4.111428571,4.284285714,2.631428571,4.085714286,0.737142857,1.39,1.655714286,0.225714286,0.172857143,0.392857143,1.8099
202134,NC,37,-5.285714286,7.857142857,41,-11.42857143,-22.71428571,3.857142857,2620,4,5780476,4815397,,2381.333333,567.3333333,14319,260,1189296,44402,313431,49671,363671,4.145714286,0.267142857,5.415714286,2.021428571,4.16,4.425714286,2.711428571,4.147142857,0.774285714,1.425714286,1.69,0.248571429,0.175714286,0.411428571,1.98802
202135,NC,37,-5.142857143,7.142857143,44.57142857,-11.14285714,-23.42857143,4.142857143,2689,6,5900286,4904412,,2432.666667,609.6666667,14708,389,1237393,48097,356691,50664,407898,4.321428571,0.262857143,5.428571429,2.2,4.07,4.418571429,2.66,4.041428571,0.778571429,1.391428571,1.631428571,0.245714286,0.175714286,0.407142857,2.04899
202136,NC,37,-6.428571429,4.857142857,58.28571429,-14,-28,5.428571429,2579,15,6000017,4990884,,2403,575,15075,367,1279500,42107,318114,44303,362876,4.168571429,0.265714286,5.701428571,2.221428571,4.064285714,4.387142857,2.7,3.975714286,0.788571429,1.42,1.601428571,0.231428571,0.171428571,0.41,2.16572
202137,NC,37,-5.285714286,5,49.42857143,-10.42857143,-21.42857143,3.857142857,2419,11,6091426,5074311,,2491.666667,659.6666667,15615,540,1330492,50992,359001,43272,402763,3.972857143,0.248571429,5.688571429,2.215714286,4.05,4.427142857,2.662857143,3.897142857,0.835714286,1.427142857,1.62,0.234285714,0.18,0.425714286,1.90277
202138,NC,37,-6.857142857,3.428571429,42.28571429,-12,-20.28571429,4,2263,8,6166288,5155506,,2348,505,16108,493,1368743,38251,330941,34578,365969,3.702857143,0.22,5.5,2.13,3.914285714,4.298571429,2.568571429,3.811428571,0.767142857,1.371428571,1.538571429,0.24,0.175714286,0.401428571,1.6075
