epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr,symptom:Fever,symptom:Low-grade fever,symptom:Cough,symptom:Sore throat,symptom:Headache,symptom:Fatigue,symptom:Vomiting,symptom:Diarrhea,symptom:Shortness of breath,symptom:Chest pain,symptom:Dizziness,symptom:Confusion,symptom:Generalized tonic–clonic seizure,symptom:Weakness,ili
202001,X,US,,,,,,,,,,,,179143,1174,,,,,,,,4.6825,0.225,10.0425,2.8275,4.4975,4.3975,3.5,4.35,0.74,1.42,1.665,0.2175,0.185,0.3475,5.90066
202002,X,US,,,,,,,,,,,,180831,1380,,,,,,,,4.475714286,0.205714286,8.751428571,2.461428571,4.245714286,4.518571429,3.002857143,4.038571429,0.702857143,1.344285714,1.565714286,0.234285714,0.2,0.374285714,4.9402
202003,X,US,,,,,,,,,,,,176752,788.6666667,,,,,,,,4.658571429,0.217142857,7.818571429,2.3,4.17,4.508571429,3.007142857,4.011428571,0.69,1.302857143,1.581428571,0.232857143,0.217142857,0.391428571,5.33135
202004,X,US,,,,,,,,,,,,176066,923,1,1,2,2,,,,4.881428571,0.24,8.291428571,2.402857143,5.021428571,4.558571429,3.174285714,4.131428571,0.71,1.321428571,1.612857143,0.232857143,0.198571429,0.388571429,6.07822
202005,X,US,,,,,,,,,,,,175092,1083,1,0,8,6,,,,5.262857143,0.281428571,8.821428571,2.578571429,4.268571429,4.598571429,3.192857143,4.134285714,0.757142857,1.358571429,1.654285714,0.241428571,0.201428571,0.394285714,6.74724
202006,X,US,,,,,,,,,,,,177040,1082.666667,1,0,12,4,,,,5.25,0.284285714,8.781428571,2.657142857,4.191428571,4.575714286,3.28,4.132857143,0.777142857,1.364285714,1.562857143,0.235714286,0.192857143,0.395714286,6.80157
202007,X,US,6,2,15,3,2,-1,,,,,,175040,921.3333333,1,0,14,2,,,,4.99,0.262857143,8.292857143,2.575714286,4.21,4.55,3.2,4.101428571,0.748571429,1.354285714,1.587142857,0.24,0.201428571,0.392857143,6.11292
202008,X,US,3.571428571,0.142857143,12.71428571,0.142857143,-2.714285714,0.714285714,,,,,,175393,967.3333333,1,0,16,2,,,,4.784285714,0.25,8.062857143,2.552857143,4.341428571,4.681428571,3.148571429,4.087142857,0.757142857,1.352857143,1.63,0.242857143,0.198571429,0.408571429,5.52513
202009,X,US,6.857142857,2.857142857,12.71428571,3.857142857,2.428571429,-0.714285714,,,,,,176648,1129.333333,2,1,26,10,,,,5.112857143,0.245714286,8.202857143,2.547142857,4.234285714,4.581428571,3.094285714,4.147142857,0.782857143,1.324285714,1.592857143,0.254285714,0.192857143,0.432857143,5.12333
202010,X,US,8.857142857,7,18.14285714,3.571428571,3,-1,,,,,0.1,177707,1226.666667,18,16,417,391,5996,733,6755,5.545714286,0.287142857,9.238571429,2.985714286,4.071428571,4.507142857,3.034285714,4.151428571,0.884285714,1.325714286,1.527142857,0.33,0.191428571,0.405714286,5.26652
202011,X,US,4.571428571,13.85714286,20.14285714,-3.857142857,-1.714285714,1,,,,,0.6,174586.6667,939.6666667,61,43,2952,2535,40535,4469,45139,9.172857143,0.505714286,12.49428571,3.395714286,3.82,4.502857143,2.925714286,4.427142857,1.294285714,1.431428571,1.38,0.3,0.17,0.407142857,5.66932
202012,X,US,-22.71428571,9.285714286,2.142857143,-28.57142857,-25.42857143,11.14285714,,,,,2.9,175517.6667,1124.333333,482,421,26056,23104,294532,44374,339240,15.58571429,0.822857143,12.85428571,4.05,4.195714286,3.702857143,2.455714286,4.195714286,1.807142857,1.744285714,1.22,0.201428571,0.138571429,0.348571429,6.38029
202013,X,US,-41.57142857,-14.14285714,-11.57142857,-47.14285714,-41.42857143,17.42857143,,,,,7.6,183165.3333,8186,3018,2536,127417,101361,616178,136080,752957,11.00571429,0.727142857,9.568571429,2.942857143,4.45,3.755714286,2.267142857,3.755714286,1.75,1.867142857,1.322857143,0.217142857,0.138571429,0.352857143,4.91692
202014,X,US,-42,-15,-15.85714286,-50,-45.85714286,18.42857143,,,,,9.5,201348.6667,27532.33333,11578,8560,323953,196536,788962,210141,1000670,8.541428571,0.558571429,7.558571429,2.357142857,4.424285714,3.86,2.197142857,3.572857143,1.528571429,1.785714286,1.365714286,0.217142857,0.145714286,0.372857143,3.78625
202015,X,US,-43.71428571,-14,-13.71428571,-52.14285714,-48.28571429,19.28571429,515,,,,9.2,214520.6667,42052.33333,26286,14708,545298,221345,940188,236755,1179546,6.58,0.435714286,5.954285714,1.971428571,4.251428571,3.72,2.14,3.394285714,1.278571429,1.648571429,1.402857143,0.244285714,0.15,0.338571429,2.80122
202016,X,US,-44.28571429,-19.28571429,-22,-51.14285714,-46.42857143,18.71428571,580,,,,9.9,208434.3333,38370,41512,15226,743405,198107,892748,208262,1103512,4.99,0.318571429,4.494285714,1.498571429,4.024285714,3.678571429,2.112857143,3.25,0.988571429,1.458571429,1.412857143,0.264285714,0.15,0.331428571,2.12907
202017,X,US,-40.14285714,-14.85714286,-8.571428571,-48.28571429,-44.57142857,17.71428571,373,,,,9.5,202815,34376.33333,56935,15423,949511,206106,1227195,226769,1457816,4.512857143,0.27,4.008571429,1.347142857,3.995714286,3.842857143,2.138571429,3.28,0.911428571,1.412857143,1.391428571,0.25,0.157142857,0.344285714,1.73315
202018,X,US,-35,-10,1.714285714,-44.57142857,-42.57142857,15.28571429,516,,,,9.3,192206.3333,25203.33333,70258,13323,1142454,192943,1624436,248378,1880070,4.377142857,0.234285714,3.615714286,1.254285714,3.964285714,3.877142857,2.125714286,3.288571429,0.851428571,1.375714286,1.404285714,0.24,0.157142857,0.351428571,1.40939
202019,X,US,-30.14285714,-3.571428571,9.428571429,-41.42857143,-39.57142857,14.57142857,472,,,,8.2,187279.3333,21814.33333,82477,12219,1317402,174948,1990012,229550,2226724,5.657142857,0.211428571,3.357142857,1.187142857,3.768571429,3.887142857,2.094285714,3.224285714,0.78,1.297142857,1.377142857,0.234285714,0.154285714,0.347142857,1.18297
202020,X,US,-28.85714286,-5.142857143,14.42857143,-39.71428571,-37.57142857,13.85714286,453,,,,7.6,182580,18181.33333,92357,9880,1473495,156093,2464833,221281,2692390,5.801428571,0.218571429,3.234285714,1.167142857,3.788571429,3.93,2.138571429,3.26,0.758571429,1.284285714,1.411428571,0.225714286,0.155714286,0.348571429,1.11444
202021,X,US,-25,-3.714285714,23.14285714,-37.57142857,-35.71428571,12.85714286,417,,,,7.4,176273,13207,100756,8399,1626709,153214,2635750,212495,2855296,4.228571429,0.202857143,2.987142857,1.137142857,3.815714286,3.928571429,2.148571429,3.322857143,0.732857143,1.262857143,1.437142857,0.234285714,0.154285714,0.35,1.00534
202022,X,US,-23.42857143,-3.571428571,40,-36.28571429,-37.14285714,12.42857143,309,,,,6.1,171612.6667,9872.666667,107223,6467,1772108,145399,2994085,213268,3217962,3.584285714,0.191428571,2.732857143,1.105714286,3.748571429,3.83,2.164285714,3.334285714,0.76,1.267142857,1.448571429,0.228571429,0.151428571,0.345714286,0.88827
202023,X,US,-19.14285714,-0.714285714,38.28571429,-33,-30.42857143,10.57142857,208,,,,4.8,170409.3333,8908,113090,5867,1922168,150060,3332455,210837,3551041,3.334285714,0.18,2.535714286,1.04,3.617142857,3.751428571,2.087142857,3.245714286,0.707142857,1.242857143,1.405714286,0.242857143,0.154285714,0.355714286,0.814062
202024,X,US,-16.42857143,-0.714285714,49.71428571,-30.28571429,-29.28571429,9.428571429,278,,,,4,168629,7722,118159,5069,2070998,148830,3558708,220315,3786331,3.527142857,0.192857143,2.664285714,1.104285714,3.781428571,4.13,2.26,3.487142857,0.697142857,1.268571429,1.522857143,0.24,0.161428571,0.382857143,0.836751
202025,X,US,-14.28571429,0.571428571,59.42857143,-28,-29,8.428571429,246,,,,4,168949,8279.333333,122313,4154,2253863,182865,3927726,317153,4252873,3.741428571,0.231428571,2.975714286,1.204285714,3.85,4.265714286,2.371428571,3.642857143,0.707142857,1.284285714,1.555714286,0.237142857,0.158571429,0.4,0.928418
202026,X,US,-15.28571429,-1,56.57142857,-27.42857143,-29.85714286,8.714285714,469,,,,4.5,170405.3333,9892.333333,126175,3862,2514149,260286,4274188,398515,4681431,4.271428571,0.292857143,4.668571429,1.325714286,4.005714286,4.425714286,2.43,3.882857143,0.788571429,1.345714286,1.637142857,0.244285714,0.164285714,0.412857143,1.14217
202027,X,US,-13.71428571,2.571428571,64.14285714,-27.71428571,-35.14285714,9,824,,,,5.9,173763,13970.33333,129848,3673,2850717,336568,4712574,526403,5249881,4.49,0.315714286,3.787142857,1.415714286,4.077142857,4.28,2.421428571,3.924285714,0.792857143,1.385714286,1.622857143,0.244285714,0.158571429,0.398571429,1.27401
202028,X,US,-15.71428571,-2.285714286,52.57142857,-27.71428571,-31.85714286,8.857142857,960,,,,7.6,178810.6667,19281.66667,135136,5288,3255174,404457,5349042,629471,5993123,4.795714286,0.331428571,3.548571429,1.502857143,4.124285714,4.467142857,2.497142857,4,0.844285714,1.414285714,1.705714286,0.254285714,0.17,0.42,1.34924
202029,X,US,-14.71428571,-1.428571429,60.28571429,-28.14285714,-30.71428571,8.714285714,18510,,,,8.1,181165.6667,22286.66667,140696,5560,3708546,453372,5901258,657161,6576949,4.82,0.308571429,3.544285714,1.531428571,4.181428571,4.401428571,2.434285714,3.862857143,0.837142857,1.412857143,1.668571429,0.24,0.168571429,0.422857143,1.34434
202030,X,US,-15.28571429,-3,57,-28.85714286,-30.85714286,8.714285714,32787,,,,7.6,183280,24295,147164,6468,4170613,462067,6129952,632567,6793943,4.302857143,0.265714286,3.355714286,1.481428571,4.157142857,4.341428571,2.445714286,3.88,0.78,1.378571429,1.634285714,0.238571429,0.17,0.412857143,1.22153
202031,X,US,-14.57142857,-2.714285714,57.57142857,-28.28571429,-31.28571429,8.428571429,38501,,,,6.9,183221,24358.66667,155040,7876,4605802,435189,5725321,531337,6283001,4.132857143,0.252857143,3.251428571,1.472857143,4.134285714,4.258571429,2.431428571,3.977142857,0.747142857,1.372857143,1.612857143,0.245714286,0.168571429,0.404285714,1.15258
202032,X,US,-13.85714286,-2.571428571,58,-28.14285714,-31.14285714,8.142857143,33256,,,,6.3,182113.6667,23237.66667,162312,7272,4994624,388822,5569672,443376,6030047,3.898571429,0.235714286,3.175714286,1.418571429,4.037142857,4.247142857,2.371428571,4.037142857,0.704285714,1.348571429,1.59,0.257142857,0.177142857,0.4,1.0625
202033,X,US,-14.71428571,-3.714285714,56.28571429,-28.28571429,-31,7.714285714,31514,,,,5.6,182483,23631,169376,7064,5386388,391764,5609659,385466,6011334,3.731428571,0.221428571,3.12,1.377142857,3.985714286,4.251428571,2.347142857,3.85,0.678571429,1.275714286,1.578571429,0.252857143,0.172857143,0.398571429,0.979884
202034,X,US,-15.14285714,-4.571428571,50.14285714,-28.71428571,-30.14285714,7.714285714,30668,,,,5.2,180131.6667,20921,175531,6155,5688163,301775,5517846,335478,5867213,3.575714286,0.202857143,3.032857143,1.332857143,3.89,4.177142857,2.302857143,3.681428571,0.654285714,1.232857143,1.537142857,0.257142857,0.171428571,0.424285714,0.968853
202035,X,US,-15.85714286,-5.571428571,41.14285714,-29.42857143,-29.57142857,8,29304,,,,4.4,176341,16482,181842,6311,5978677,290514,5568568,326481,5907494,3.44,0.198571429,2.961428571,1.315714286,3.837142857,4.157142857,2.284285714,3.654285714,0.648571429,1.217142857,1.515714286,0.251428571,0.167142857,0.392857143,1.00014
202036,X,US,-13.42857143,-3.285714286,48.71428571,-26.85714286,-29.85714286,6.714285714,27403,,,,4,174534,14487.66667,187651,5809,6265494,286817,5664476,313153,5989634,3.441428571,0.201428571,3.014285714,1.328571429,3.861428571,4.277142857,2.318571429,3.692857143,0.665714286,1.274285714,1.54,0.272857143,0.17,0.401428571,0.921454
202037,X,US,-15.71428571,-5.714285714,45.14285714,-30.14285714,-34.42857143,7.857142857,27623,,,,3.9,173160.3333,12301,192771,5120,6510221,244727,5333226,263728,5606434,3.43,0.194285714,3.108571429,1.337142857,3.845714286,4.225714286,2.267142857,3.655714286,0.671428571,1.23,1.545714286,0.267142857,0.167142857,0.391428571,1.03555
202038,X,US,-15,-6,38.71428571,-29.28571429,-27,6.857142857,24456,,,,3.8,173715.3333,11820,198184,5413,6800470,290249,6399534,303926,6713069,3.501428571,0.198571429,3.204285714,1.36,3.827142857,4.312857143,2.22,3.572857143,0.685714286,1.232857143,1.492857143,0.292857143,0.171428571,0.407142857,0.974333
202039,X,US,-15.28571429,-6.428571429,32.57142857,-30.14285714,-26.42857143,6.857142857,24483,,,,4.3,176335.3333,13684.33333,203497,5313,7093248,292778,6507398,317238,6834553,3.524285714,0.208571429,3.405714286,1.414285714,3.837142857,4.378571429,2.225714286,3.541428571,0.692857143,1.235714286,1.488571429,0.284285714,0.172857143,0.408571429,1.06408
202040,X,US,-14.57142857,-5,22.28571429,-29.71428571,-25.71428571,6.571428571,26996,,,,4.4,174017.3333,10852.33333,208345,4848,7395369,302121,6471867,329460,6809907,3.568571429,0.245714286,3.504285714,1.431428571,3.831428571,4.474285714,2.375714286,3.498571429,0.694285714,1.665714286,1.488571429,0.304285714,0.171428571,0.421428571,1.0872
202041,X,US,-15.14285714,-5.142857143,27.71428571,-29,-26,6.571428571,32667,,,,5.4,179294.6667,14231.66667,213365,5020,7729830,334461,7590409,394102,8000782,3.897142857,0.262857143,3.83,1.521428571,3.91,4.49,2.345714286,3.518571429,0.76,1.325714286,1.495714286,0.274285714,0.181428571,0.427142857,1.20898
202042,X,US,-15.71428571,-6.285714286,21.28571429,-29.28571429,-26.57142857,7.428571429,36279,12,,,6.2,175484.3333,9777,218514,5149,8118128,388298,7108879,440356,7572573,3.532857143,0.22,3.637142857,1.442857143,3.908571429,4.29,2.312857143,3.461428571,0.712857143,1.248571429,1.502857143,0.271428571,0.182857143,0.41,1.10874
202043,X,US,-16.57142857,-6.857142857,14.71428571,-29.14285714,-25.14285714,7.285714286,41095,218,,,7.4,179327,12139.66667,224416,5902,8603119,484991,7955488,547986,8532178,3.561428571,0.224285714,3.731428571,1.458571429,3.94,4.402857143,2.288571429,3.478571429,0.714285714,1.257142857,1.538571429,0.268571429,0.181428571,0.418571429,1.18588
202044,X,US,-16.71428571,-5.714285714,1.857142857,-31.14285714,-25.42857143,7.857142857,46062,428,,,9.1,181971.3333,14419.33333,230494,6078,9175063,571944,8080482,650970,8762013,3.547142857,0.221428571,3.822857143,1.474285714,3.831428571,4.197142857,2.304285714,3.364285714,0.735714286,1.235714286,1.464285714,0.284285714,0.178571429,0.391428571,1.25
202045,X,US,-16.57142857,-7.428571429,6.142857143,-32.57142857,-25.42857143,7.857142857,55401,477,,,12,192649,23984.66667,237880,7386,9952065,777002,8785753,885551,9696336,3.622857143,0.25,3.851428571,1.54,3.801428571,3.958571429,2.192857143,3.167142857,0.668571429,1.194285714,1.417142857,0.312857143,0.172857143,0.377142857,1.43782
202046,X,US,-18,-8.142857143,-3.285714286,-34.28571429,-26.57142857,9,69763,585,,,15.5,194504.3333,24316,245999,8119,10980817,1028752,9673844,1185293,10881174,3.884285714,0.267142857,4.171428571,1.577142857,3.998571429,4.33,2.29,3.372857143,0.727142857,1.277142857,1.504285714,0.28,0.185714286,0.407142857,1.48426
202047,X,US,-19.57142857,-7,-7.142857143,-34,-25.85714286,9.142857143,81601,548,,,17.7,200402,29439.66667,256972,10973,12186154,1205337,11385534,1292265,12706315,4.098571429,0.278571429,4.397142857,1.634285714,4.031428571,4.314285714,2.288571429,3.398571429,0.755714286,1.307142857,1.501428571,0.262857143,0.181428571,0.414285714,1.54717
202048,X,US,-24.71428571,-6.428571429,-7.571428571,-38.71428571,-40.57142857,12.28571429,85943,590,,,18.4,203049,30862.66667,268055,11083,13367243,1181089,10379806,1205060,11614619,3.782857143,0.257142857,4.178571429,1.568571429,3.917142857,3.934285714,2.297142857,3.295714286,0.71,1.321428571,1.457142857,0.225714286,0.162857143,0.352857143,1.60668
202049,X,US,-19.85714286,-8.571428571,-16,-35.57142857,-26.57142857,9.857142857,94809,577,,,19.2,212390.6667,38771,283786,15731,14735695,1368452,10942741,1494614,12466349,3.931428571,0.26,4.391428571,1.557142857,4.111428571,4.252857143,2.337142857,3.374285714,0.754285714,1.331428571,1.518571429,0.252857143,0.178571429,0.397142857,1.56586
202050,X,US,-20,-7.714285714,-14.57142857,-37.42857143,-26.28571429,9.571428571,100590,605,,,19.7,223719,47546.66667,301150,17364,16248679,1512984,11241318,1501538,12772158,3.93,0.264285714,4.32,1.518571429,4.077142857,4.181428571,2.294285714,3.37,0.751428571,1.33,1.494285714,0.251428571,0.187142857,0.404285714,1.52073
202051,X,US,-19.57142857,-6,-22,-37,-27.71428571,10.42857143,104346,794,0,0,19,224992,47851,320109,18959,17801746,1553067,10982166,1499877,12516823,3.748571429,0.247142857,4.228571429,1.5,3.921428571,3.971428571,2.232857143,3.27,0.705714286,1.331428571,1.472857143,0.232857143,0.165714286,0.375714286,1.50659
202052,X,US,-22.42857143,-2.714285714,-17.42857143,-39.14285714,-42.57142857,12.42857143,104873,874,0,0,19,228200.6667,49028.33333,336545,16436,19167116,1365370,9637352,1340664,11012296,3.61,0.251428571,4.144285714,1.555714286,3.877142857,3.677142857,2.33,3.248571429,0.672857143,1.337142857,1.465714286,0.195714286,0.144285714,0.332857143,1.55413
202053,X,US,-22.28571429,-9.142857143,-12.85714286,-40.57142857,-42.71428571,14.28571429,111218,738,0,0,19.5,234683,53636.66667,355281,18736,20667274,1500158,8986486,1592128,10615562,3.897142857,0.268571429,4.57,1.638571429,4.354285714,4.131428571,2.582857143,3.528571429,0.73,1.472857143,1.991428571,0.205714286,0.145714286,0.358571429,1.5907
202101,X,US,-23,-10.57142857,-22.85714286,-38.57142857,-27.85714286,11.14285714,117582,665,0,0,20.8,233601.6667,51647.33333,377523,22242,22400666,1733392,11053437,1758737,12853070,3.81,0.26,4.278571429,1.5,4.255714286,4.312857143,2.382857143,3.504285714,0.734285714,1.402857143,1.551428571,0.237142857,0.161428571,0.384285714,1.47569
202102,X,US,-24.85714286,-12.57142857,-20.85714286,-40,-28,10.71428571,109775,660,0,0,18.4,234912,51878.33333,400971,23448,23962483,1561817,11071274,1454887,12564780,3.647142857,0.241428571,4.035714286,1.398571429,4.132857143,4.321428571,2.341428571,3.478571429,0.731428571,1.355714286,1.535714286,0.24,0.164285714,0.4,1.29196
202103,X,US,-25.14285714,-13.71428571,-18.14285714,-41.14285714,-29.57142857,10.71428571,96408,545,0,0,15.9,225702.3333,43660.33333,422729,21758,25185323,1222840,10640428,1184122,11866859,3.53,0.218571429,3.887142857,1.394285714,4.221428571,4.297142857,2.381428571,3.54,0.731428571,1.381428571,1.572857143,0.251428571,0.167142857,0.392857143,1.25191
202104,X,US,-26,-14.42857143,-26.28571429,-41.42857143,-27.57142857,10.57142857,82343,593,0,0,13.3,215656.3333,34328.33333,444607,21878,26242002,1056679,10291320,987841,11317388,3.508571429,0.208571429,3.82,1.388571429,4.154285714,4.368571429,2.394285714,3.57,0.732857143,1.361428571,1.59,0.254285714,0.17,0.397142857,1.10337
202105,X,US,-24.28571429,-12.71428571,-23,-40.85714286,-27.85714286,10.42857143,70684,516,0,0,11.4,210868.6667,28781.33333,465990,21383,27093672,851670,9788218,779841,10598118,3.394285714,0.2,3.704285714,1.391428571,4.175714286,4.37,2.41,3.561428571,0.742857143,1.377142857,1.587142857,0.255714286,0.175714286,0.407142857,1.16554
202106,X,US,-25.28571429,-11,-28,-40,-28.14285714,10.57142857,57392,482,0,0,8.7,199317.3333,19176.66667,483543,17553,27753513,659841,8533631,583563,9135937,3.305714286,0.185714286,3.574285714,1.402857143,4.081428571,4.267142857,2.404285714,3.52,0.72,1.354285714,1.581428571,0.26,0.185714286,0.402857143,1.00745
202107,X,US,-28,-14.42857143,-27.71428571,-42,-34.71428571,13,47089,481,41186317,0,7.7,196064.3333,15928.33333,496681,13138,28227339,473826,7546875,427465,7988635,3.122857143,0.162857143,3.457142857,1.351428571,4.112857143,4.228571429,2.428571429,3.508571429,0.697142857,1.348571429,1.555714286,0.247142857,0.178571429,0.421428571,0.986987
202108,X,US,-17.71428571,-9.428571429,-10.42857143,-34.14285714,-24.85714286,8.714285714,42497,498,46146289,0,7.1,189890.6667,11206.33333,510632,13951,28710325,482986,8742559,441154,9199316,3.151428571,0.171428571,3.428571429,1.334285714,4.187142857,4.605714286,2.497142857,3.617142857,0.725714286,1.331428571,1.62,0.265714286,0.188571429,0.431428571,0.862967
202109,X,US,-15,-6.857142857,-6.714285714,-32.57142857,-24.71428571,7.714285714,36181,466,54389604,28100810,6.2,182868,5787,522627,11995,29134312,423987,8622123,378771,9014178,3.085714286,0.161428571,3.382857143,1.325714286,4.034285714,4.498571429,2.494285714,3.6,0.711428571,1.282857143,1.587142857,0.268571429,0.188571429,0.417142857,0.82875
202110,X,US,-13.28571429,-5.428571429,6.285714286,-30.28571429,-25.14285714,7.285714286,33833,425,64566896,34233654,6.4,178397.3333,3766,531277,8650,29514503,380191,8265538,363174,8641283,3.135714286,0.171428571,3.472857143,1.351428571,3.928571429,4.421428571,2.514285714,3.631428571,0.708571429,1.244285714,1.572857143,0.26,0.181428571,0.408571429,0.883305
202111,X,US,-9.428571429,-4.571428571,0.571428571,-27.85714286,-26.28571429,7.285714286,32958,416,75615317,41021283,7,174709.3333,1460,538367,7090,29900955,386452,8046314,370356,8428593,3.081428571,0.172857143,3.425714286,1.361428571,3.774285714,4.334285714,2.545714286,3.661428571,0.688571429,1.228571429,1.528571429,0.247142857,0.174285714,0.397142857,0.90874
202112,X,US,-8.428571429,-4.142857143,13.85714286,-25.85714286,-24.57142857,6.571428571,34382,385,87694806,47644860,8.1,176421.6667,2606.666667,545340,6973,30332704,431749,8111006,420471,8544822,3.247142857,0.188571429,3.582857143,1.421428571,3.855714286,4.415714286,2.594285714,3.752857143,0.71,1.23,1.572857143,0.258571429,0.184285714,0.41,0.948022
202113,X,US,-6.428571429,0.857142857,13.57142857,-25.85714286,-27.42857143,6.714285714,35964,369,99698927,56762400,8.7,170374.6667,483,551128,5788,30792610,459906,7983228,453672,8452800,3.38,0.205714286,3.655714286,1.44,3.874285714,4.347142857,2.591428571,3.751428571,0.695714286,1.208571429,1.565714286,0.242857143,0.185714286,0.397142857,0.974936
202114,X,US,-9.571428571,-2.857142857,27.57142857,-24.42857143,-27.28571429,5.714285714,38741,442,112127275,66824117,10,177206.3333,4742.333333,558016,6888,31272480,479870,8158730,469207,8645806,3.63,0.238571429,3.812857143,1.472857143,3.931428571,4.468571429,2.73,3.852857143,0.714285714,1.222857143,1.574285714,0.258571429,0.185714286,0.414285714,1.06411
202115,X,US,-8.428571429,-3.142857143,16,-25.57142857,-24.57142857,6,39830,417,125107946,78969973,10.2,171753.3333,2376,563048,5032,31751050,478570,8415254,467777,8896084,3.652857143,0.222857143,3.877142857,1.471428571,4.07,4.518571429,2.768571429,3.934285714,0.731428571,1.277142857,1.624285714,0.252857143,0.188571429,0.425714286,1.08168
202116,X,US,-8.714285714,-2.571428571,20.71428571,-24.57142857,-24,6.142857143,37720,493,134275565,89301185,9.2,174740,5349.333333,568083,5035,32164900,413850,8256150,402382,8670180,3.622857143,0.22,3.988571429,1.544285714,4.107142857,4.598571429,2.778571429,3.947142857,0.725714286,1.275714286,1.64,0.257142857,0.19,0.427142857,1.10339
202117,X,US,-7.428571429,-0.857142857,28.85714286,-23.28571429,-24.14285714,5.428571429,34180,425,141676220,99317907,8,174034.3333,5615.666667,572960,4877,32514075,349175,7931242,352055,8294117,3.607142857,0.221428571,4.005714286,1.56,4.1,4.544285714,2.761428571,3.934285714,0.714285714,1.241428571,1.628571429,0.257142857,0.187142857,0.421428571,1.13164
202118,X,US,-5.571428571,3.285714286,26.57142857,-22.14285714,-23.85714286,4.857142857,30748,344,146935397,108540762,7.2,171722,5056,577651,4691,32807665,293590,7342171,282575,7633431,3.47,0.2,3.942857143,1.545714286,3.97,4.387142857,2.75,3.905714286,0.684285714,1.221428571,1.585714286,0.245714286,0.177142857,0.405714286,1.1483
202119,X,US,-6.142857143,2.857142857,33.57142857,-20.71428571,-24.42857143,4.714285714,26231,321,151577437,117730423,5.7,170372.3333,4598,581664,4013,33044404,236739,6797550,220814,7025872,3.367142857,0.182857143,4.061428571,1.605714286,3.872857143,4.362857143,2.71,3.914285714,0.661428571,1.187142857,1.574285714,0.238571429,0.174285714,0.411428571,1.19144
202120,X,US,-5.571428571,1.857142857,40.28571429,-20.57142857,-23.28571429,4.714285714,23008,301,157401554,125035619,4.8,171673.6667,5936.666667,585544,3880,33225219,180815,6097453,172100,6275771,3.271428571,0.172857143,4.114285714,1.62,3.842857143,4.355714286,2.702857143,3.964285714,0.668571429,1.182857143,1.602857143,0.238571429,0.175714286,0.404285714,1.24686
202121,X,US,-4.285714286,3.285714286,38.57142857,-20.14285714,-24.71428571,4.571428571,20442,295,162310665,130601334,3.7,168050.3333,4125.666667,590027,4483,33370780,145561,5390000,132184,5526991,3.15,0.148571429,4.091428571,1.62,3.832857143,4.292857143,2.685714286,3.997142857,0.652857143,1.201428571,1.621428571,0.23,0.175714286,0.395714286,1.14576
202122,X,US,-4.285714286,4.142857143,54.14285714,-20.71428571,-30.42857143,5.857142857,16660,286,165553952,134422377,2.8,168828,4980.666667,593291,3264,33472681,101901,4806196,97008,4906869,3.16,0.144285714,4.134285714,1.677142857,3.844285714,4.248571429,2.834285714,4.072857143,0.647142857,1.215714286,1.637142857,0.218571429,0.17,0.392857143,1.18405
202123,X,US,-3.428571429,3.857142857,48.28571429,-18.42857143,-24.57142857,4.571428571,14931,276,168471955,138949515,2.4,168312,5355.666667,595750,2459,33571619,98938,4722966,86045,4812981,3.105714286,0.142857143,4.144285714,1.68,3.945714286,4.304285714,2.748571429,4.152857143,0.658571429,1.327142857,1.677142857,0.224285714,0.174285714,0.397142857,1.12999
202124,X,US,-2.857142857,5,55.28571429,-16.42857143,-25.71428571,4.285714286,13521,262,171880518,145139433,1.9,168705.3333,6243.333333,597826,2076,33652335,80716,4353344,80474,4437519,3.117142857,0.144285714,4.198571429,1.708571429,3.904285714,4.342857143,2.764285714,4.27,0.654285714,1.294285714,1.737142857,0.23,0.174285714,0.397142857,1.19103
202125,X,US,-4.142857143,1.714285714,50.14285714,-16.85714286,-26.28571429,4.428571429,13173,253,173979677,148169846,1.8,167937,6089,599925,2099,33739032,86697,4182232,86045,4271670,3.08,0.138571429,4.244285714,1.727142857,3.911428571,4.414285714,2.79,4.282857143,0.66,1.32,1.748571429,0.227142857,0.171428571,0.394285714,1.21258
202126,X,US,-3.428571429,4.571428571,48.57142857,-16.57142857,-27.71428571,4,14431,249,176849290,152417639,1.7,169894,8233,601588,1663,33830081,91049,3808272,106764,3918308,3.16,0.14,4.284285714,1.755714286,3.918571429,4.271428571,2.805714286,4.448571429,0.642857143,1.277142857,1.767142857,0.218571429,0.18,0.41,1.2132
202127,X,US,-5.857142857,3.285714286,60.28571429,-18.28571429,-33.42857143,5.714285714,17174,286,178666912,154699542,2.3,168776.6667,7454,603172,1584,33964112,134031,3623055,148175,3774660,3.24,0.148571429,4.437142857,1.827142857,3.932857143,4.312857143,2.862857143,4.945714286,0.644285714,1.282857143,1.731428571,0.222857143,0.174285714,0.391428571,1.26708
