epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202001,X,US,,,,,,,,,,,,179143.0,1351.0,,,,,,,
202002,X,US,,,,,,,,,,,,180831.0,1620.0,,,,,,,
202003,X,US,,,,,,,,,,,,176752.0,1036.6666666666667,,,,,,,
202004,X,US,,,,,,,,,,,,176066.0,890.0,1.0,1.0,2.0,2.0,,,
202005,X,US,,,,,,,,,,,,175092.0,886.0,1.0,0.0,8.0,6.0,,,
202006,X,US,,,,,,,,,,,,177040.0,1073.6666666666667,1.0,0.0,12.0,4.0,,,
202007,X,US,6.0,2.0,15.0,3.0,2.0,-1.0,,,,,,175040.0,911.3333333333335,1.0,0.0,14.0,2.0,,,
202008,X,US,3.5714285714285716,0.14285714285714285,12.714285714285714,0.14285714285714285,-2.7142857142857144,0.7142857142857143,,,,,,175393.0,964.3333333333335,1.0,0.0,16.0,2.0,,,
202009,X,US,6.857142857142857,2.857142857142857,12.714285714285714,3.857142857142857,2.4285714285714284,-0.7142857142857143,,,,,,176648.0,921.3333333333335,2.0,1.0,26.0,10.0,,,
202010,X,US,8.857142857142858,7.0,18.142857142857142,3.5714285714285716,3.0,-1.0,,,,,0.1,177707.0,1227.3333333333333,18.0,16.0,417.0,391.0,26850.0,3361.0,30346.0
202011,X,US,4.571428571428571,13.857142857142858,20.142857142857142,-3.857142857142857,-1.7142857142857142,1.0,,,,,0.6,174586.66666666663,911.0,61.0,43.0,2952.0,2535.0,42256.0,4939.0,47334.0
202012,X,US,-22.714285714285715,9.285714285714286,2.142857142857143,-28.571428571428573,-25.428571428571427,11.142857142857142,,,,,2.9,175517.66666666663,1069.0,482.0,421.0,26056.0,23104.0,296619.0,44498.0,341453.0
202013,X,US,-41.57142857142857,-14.142857142857142,-11.571428571428571,-47.142857142857146,-41.42857142857143,17.428571428571427,,,,,7.6,183165.3333333333,7515.0,3018.0,2536.0,127417.0,101361.0,616931.0,136258.0,753888.0
202014,X,US,-42.0,-15.0,-15.857142857142858,-50.0,-45.857142857142854,18.428571428571427,,,,,9.5,201348.66666666663,26974.33333333333,11578.0,8560.0,323966.0,196549.0,788768.0,210361.0,1000697.0
202015,X,US,-43.714285714285715,-14.0,-13.714285714285714,-52.142857142857146,-48.285714285714285,19.285714285714285,515.0,,,,9.2,214520.66666666663,42232.0,26286.0,14708.0,545325.0,221359.0,939605.0,236869.0,1179077.0
202016,X,US,-44.285714285714285,-19.285714285714285,-22.0,-51.142857142857146,-46.42857142857143,18.714285714285715,580.0,,,,9.9,208434.3333333333,36983.333333333336,41512.0,15226.0,743438.0,198113.0,892510.0,208454.0,1103470.0
202017,X,US,-40.142857142857146,-14.857142857142858,-8.571428571428571,-48.285714285714285,-44.57142857142857,17.714285714285715,373.0,,,,9.5,202815.0,33375.666666666664,56934.0,15422.0,949545.0,206107.0,1227094.0,226875.0,1457823.0
202018,X,US,-35.0,-10.0,1.7142857142857142,-44.57142857142857,-42.57142857142857,15.285714285714286,516.0,,,,9.3,192206.3333333333,24906.66666666667,70256.0,13322.0,1142497.0,192952.0,1625325.0,248663.0,1881259.0
202019,X,US,-30.142857142857142,-3.5714285714285716,9.428571428571429,-41.42857142857143,-39.57142857142857,14.571428571428571,472.0,,,,8.2,187279.3333333333,21402.666666666668,82475.0,12219.0,1317473.0,174976.0,1993922.0,229749.0,2230840.0
202020,X,US,-28.857142857142858,-5.142857142857143,14.428571428571429,-39.714285714285715,-37.57142857142857,13.857142857142858,453.0,,,,7.6,182580.0,17714.666666666668,92355.0,9880.0,1473568.0,156095.0,2466710.0,221476.0,2694464.0
