date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask,smoothed_wtravel_outside_state_5d,smoothed_wspent_time_1d,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,google_survey_cli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
2020-10-03,202040,IA,19,-2.857142857142860,13.428571428571400,89.0,-4.428571428571430,-16.857142857142900,3.7142857142857100,162.27,429.0,,744.6493,582.7215,706.9824,537.7840000000000,667.7644,528.9536,787.0868000000000,633.4480000000000,1087.0629000000000,902.8211,662.7524,516.5586,641.9339,514.0024000000000,834.1474,673.4381000000000,1110.4218,882.6481000000000,977.3195000000000,751.8441,933.2027,705.4868000000000,824.3116,652.1513,774.2150000000000,619.2053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,5526.0,24885.0,30411.0,247.0,681.0,66.0,5829.0,0.0,652.3333333333330,75.33333333333330,1381.0,67.0,1.2780966,0.0,1.2425351714285700,92301.0,6393.0,74649.0,6349.0,81132.0
2020-10-10,202041,IA,19,-2.2857142857142900,13.714285714285700,144.57142857142900,-3.857142857142860,-16.428571428571400,2.7142857142857100,167.63571428571400,487.0,,636.6196,506.4244,616.1065,477.09460000000000,573.022,458.9176,674.9794000000000,547.5234000000000,923.6622,769.9768,569.325,448.9661,555.2983,448.99390000000000,718.0483,585.1043,937.6142,751.7758000000000,835.9473000000000,652.9792,797.4769000000000,616.6542,715.078,575.8031,663.2578,535.0953000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.2,5801.0,26968.0,32769.0,308.0,728.0,78.0,4629.0,0.0,699.6666666666670,123.66666666666700,1459.0,78.0,1.0216127142857100,0.0,1.0020141857142900,99042.0,6741.0,77299.0,7217.0,84654.0
2020-10-17,202042,IA,19,-3.142857142857140,12.285714285714300,113.0,-3.4285714285714300,-16.571428571428600,3.857142857142860,164.2242857142860,498.0,,650.2652,532.1079000000000,636.5739,499.8676,592.75,483.6291,695.7765000000000,573.9719,946.3061,807.6563000000000,592.7547,475.3659,575.5934,473.3239,741.5608000000000,615.5091,951.6994,779.1026000000000,842.8972000000000,670.0797,803.8556,629.4032,737.4636,604.3814,684.8455000000000,562.6868000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.5,6832.0,21034.0,26637.0,312.0,745.0,72.0,5554.0,0.0,649.6666666666670,72.0,1528.0,69.0,0.980003757142857,0.0,1.1307807857142900,106698.0,7656.0,73229.0,8080.0,81438.0
2020-10-24,202043,IA,19,-6.714285714285710,9.0,38.142857142857100,-7.285714285714290,-16.285714285714300,5.571428571428570,147.81000000000000,596.0,1.0,708.5042,579.9685,681.6038,531.7222000000000,644.7259000000000,525.5528,767.8842,634.3109000000000,1041.1693000000000,881.206,647.0232,517.4481,629.5088,518.116,805.6187,667.3390000000000,1050.5699,852.8998,922.4023,726.1562,868.6213000000000,672.3405,796.7758000000000,647.8251000000000,749.3979,614.7694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.9,7411.0,24124.0,31535.0,335.0,876.0,104.0,5961.0,0.0,706.6666666666670,124.66666666666700,1634.0,106.0,1.0800149,0.0,1.1295614571428600,114836.0,8138.0,71456.0,9374.0,80989.0
2020-10-31,202044,IA,19,-6.571428571428570,9.285714285714290,47.142857142857100,-10.0,-16.428571428571400,5.428571428571430,144.78714285714300,711.0,2.0,720.8915000000000,579.5460000000000,692.9595000000000,534.8634,643.9915,517.7297,777.6182000000000,631.8702000000000,1065.4703,890.7331000000000,641.7111000000000,506.3273,628.2387,507.9261,820.3908000000000,670.5799,1084.8206,873.0824,949.9421,742.2641,887.5214000000000,680.678,797.7731,638.5482000000000,758.4685,613.4479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22.9,11241.0,19772.0,31013.0,350.0,952.0,85.0,5737.0,0.0,713.3333333333330,124.33333333333300,1716.0,82.0,1.2017780571428600,0.0,1.300150814285710,128510.0,13674.0,74561.0,14741.0,89468.0
2020-11-07,202045,IA,19,-5.428571428571430,9.0,76.85714285714290,-11.714285714285700,-16.857142857142900,5.428571428571430,135.27428571428600,1075.0,24.0,616.1125000000000,477.3766,592.3852000000000,442.6403,560.0299,435.171,666.0945000000000,521.4863,897.5635,721.1906000000000,565.7308,432.52550000000000,547.7467,427.9249,701.1899,551.7995,898.0356000000000,694.7847,795.268,597.6021,749.1187,552.4293,686.4861,530.2028,650.2683,507.55250000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,40.5,17473.0,20354.0,37827.0,435.0,1234.0,113.0,7159.0,0.0,774.3333333333330,173.33333333333300,1842.0,126.0,2.083472842857140,0.0,2.088239985714290,150254.0,21744.0,87783.0,25181.0,113295.0
2020-11-14,202046,IA,19,-10.571428571428600,7.0,29.714285714285700,-16.857142857142900,-19.142857142857100,8.0,118.83428571428600,1452.0,2.0,649.5626,533.4653,633.4035,493.2109,598.2169000000000,485.09450000000000,714.3613,581.8574,957.7824,794.1299,599.7440000000000,479.13,583.7649,476.1512,748.1184,611.148,972.1596,776.065,851.7868000000000,662.7083,797.1358,612.3704,732.9872,588.8255,694.9283,564.2749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,51.2,26500.0,25127.0,51627.0,664.0,1481.0,143.0,7182.0,0.0,802.3333333333330,205.33333333333300,1985.0,143.0,2.034188557142860,0.0,2.1990328285714300,183555.0,33301.0,96217.0,30494.0,127103.0
2020-11-21,202047,IA,19,-13.285714285714300,6.428571428571430,29.428571428571400,-17.142857142857100,-19.428571428571400,8.285714285714290,116.87285714285700,1563.0,6.0,647.8474,541.4160000000000,631.067,495.8134,601.3181,491.5687,718.3219,589.046,957.6033,796.0734,605.6265,489.77610000000000,591.8181,484.99840000000000,746.0460000000000,614.8959,964.5179,771.4142000000000,845.2136,660.2029,805.5609,624.0836,740.5996,597.9414000000000,696.1963000000000,569.3069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.9,21240.0,25947.0,47187.0,918.0,1923.0,188.0,8195.0,0.0,856.6666666666670,262.6666666666670,2191.0,206.0,2.361836757142860,0.0,2.478149342857140,209203.0,25648.0,103721.0,25052.0,129223.0
2020-11-28,202048,IA,19,-18.571428571428600,7.0,20.0,-26.0,-35.714285714285700,12.285714285714300,107.2457142857140,1154.0,5.0,758.7146000000000,625.5529,725.7068,556.9654,696.7665,559.6781000000000,857.8900000000000,693.2546,1150.3008,941.6491,696.7182,552.6111000000000,695.9986,560.7963,894.0358,723.9434000000000,1142.8320000000000,899.7136,988.1873,754.0326,913.5139,695.4141,847.8588,673.1257,825.0088000000000,663.0977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.3,14715.0,21893.0,36608.0,1049.0,1843.0,200.0,14272.0,0.0,842.0,241.33333333333300,2375.0,184.0,1.7625881000000000,0.0,1.7651567857142900,227179.0,17976.0,83807.0,17306.0,101548.0
2020-12-05,202049,IA,19,-10.285714285714300,6.571428571428570,22.0,-18.428571428571400,-18.285714285714300,7.857142857142860,116.0914285714290,1006.0,7.0,690.9655,566.0212,677.5211000000000,514.4422,639.1008000000000,509.71480000000000,773.8294,618.7601,1024.2919,830.9923,640.1282,501.4367,633.7075,506.5606,806.4671,647.006,1033.3719,806.9030000000000,909.335,687.1722,842.1466,632.1023,778.6881000000000,608.7764000000000,747.8117,595.7926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.2,12208.0,18613.0,30821.0,949.0,1557.0,307.0,27018.0,0.0,865.0,255.33333333333300,2682.0,307.0,1.5375095571428600,0.0,1.549522242857140,243385.0,16206.0,78542.0,14789.0,93702.0
