epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask_7d,smoothed_wspent_time_indoors_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202001,X,US,,,,,,,,,,,,,,,,,179143.0,1203.0,,,,,,,,,
202002,X,US,,,,,,,,,,,,,,,,,180831.0,1564.666666666667,,,,,,,,,
202003,X,US,,,,,,,109.53166666666665,,,,,,,,,,176752.0,1029.6666666666667,,,,,,,,,
202004,X,US,,,,,,,107.58285714285714,,,,,,,,,,176066.0,1041.0,1.0,1.0,,,2.0,2.0,,,
202005,X,US,,,,,,,106.4342857142857,,,,,,,,,,175092.0,1010.0,1.0,0.0,,,8.0,6.0,,,
202006,X,US,,,,,,,106.0757142857143,,,,,,,,,,177040.0,1061.6666666666667,1.0,0.0,,,12.0,4.0,,,
202007,X,US,6.0,2.0,15.0,3.0,2.0,-1.0,115.22142857142856,,,,,,,,,,175040.0,889.3333333333335,1.0,0.0,,,14.0,2.0,,,
202008,X,US,3.5714285714285716,0.14285714285714285,12.714285714285714,0.14285714285714285,-2.7142857142857144,0.7142857142857143,116.91714285714286,,,,,,,,,,175393.0,900.6666666666665,1.0,0.0,,,16.0,2.0,,,
202009,X,US,6.857142857142857,2.857142857142857,12.714285714285714,3.857142857142857,2.4285714285714284,-0.7142857142857143,117.91428571428571,,,,,,,,,,176648.0,1128.3333333333333,2.0,1.0,,,26.0,10.0,,,
202010,X,US,8.857142857142858,7.0,18.142857142857142,3.5714285714285716,3.0,-1.0,118.84142857142857,,,,,,,,,0.1,177707.0,1218.3333333333333,18.0,16.0,,,417.0,391.0,6043.0,738.0,6808.0
202011,X,US,4.571428571428571,13.857142857142858,20.142857142857142,-3.857142857142857,-1.7142857142857142,1.0,108.85285714285715,,,,,,,,,0.6,174586.66666666663,909.0,61.0,43.0,,,2952.0,2535.0,41153.0,4517.0,45805.0
