epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr,ili
202001,X,US,,,,,,,,,,,,179143,1174,,,,,,,,5.90066
202002,X,US,,,,,,,,,,,,180831,1377,,,,,,,,4.9402
202003,X,US,,,,,,,,,,,,176752,790.6666667,,,,,,,,5.33135
202004,X,US,,,,,,,,,,,,176066,924,1,1,2,2,,,,6.07822
202005,X,US,,,,,,,,,,,,175092,1053,1,0,8,6,,,,6.74724
202006,X,US,,,,,,,,,,,,177040,1093.666667,1,0,12,4,,,,6.80157
202007,X,US,6,2,15,3,2,-1,,,,,,175040,913.3333333,1,0,14,2,,,,6.11292
202008,X,US,3.571428571,0.142857143,12.71428571,0.142857143,-2.714285714,0.714285714,,,,,,175393,969.3333333,1,0,16,2,,,,5.52513
202009,X,US,6.857142857,2.857142857,12.71428571,3.857142857,2.428571429,-0.714285714,,,,,,176648,1129.333333,2,1,26,10,,,,5.12333
202010,X,US,8.857142857,7,18.14285714,3.571428571,3,-1,,,,,0.1,177707,1232,18,16,417,391,5996,733,6755,5.26652
202011,X,US,4.571428571,13.85714286,20.14285714,-3.857142857,-1.714285714,1,,,,,0.6,174586.6667,945.6666667,61,43,2952,2535,40535,4469,45139,5.66932
202012,X,US,-22.71428571,9.285714286,2.142857143,-28.57142857,-25.42857143,11.14285714,,,,,2.9,175517.6667,1141.666667,482,421,26056,23104,294532,44374,339240,6.38029
202013,X,US,-41.57142857,-14.14285714,-11.57142857,-47.14285714,-41.42857143,17.42857143,,,,,7.6,183165.3333,8221.666667,3018,2536,127417,101361,616140,136080,752919,4.91692
202014,X,US,-42,-15,-15.85714286,-50,-45.85714286,18.42857143,,,,,9.5,201348.6667,27566.33333,11578,8560,323953,196536,788926,210141,1000634,3.78625
202015,X,US,-43.71428571,-14,-13.71428571,-52.14285714,-48.28571429,19.28571429,515,,,,9.2,214520.6667,42093.33333,26286,14708,545298,221345,940175,236748,1179526,2.80122
202016,X,US,-44.28571429,-19.28571429,-22,-51.14285714,-46.42857143,18.71428571,580,,,,9.9,208434.3333,38487.66667,41512,15226,743405,198107,892736,208255,1103493,2.12907
202017,X,US,-40.14285714,-14.85714286,-8.571428571,-48.28571429,-44.57142857,17.71428571,373,,,,9.5,202815,34314.33333,56935,15423,949511,206106,1227187,226766,1457805,1.73315
202018,X,US,-35,-10,1.714285714,-44.57142857,-42.57142857,15.28571429,516,,,,9.3,192206.3333,25156.66667,70258,13323,1142454,192943,1624419,248374,1880049,1.40939
202019,X,US,-30.14285714,-3.571428571,9.428571429,-41.42857143,-39.57142857,14.57142857,472,,,,8.2,187279.3333,21736.66667,82477,12219,1317402,174948,1989986,229548,2226695,1.18297
202020,X,US,-28.85714286,-5.142857143,14.42857143,-39.71428571,-37.57142857,13.85714286,453,,,,7.6,182580,18179.33333,92357,9880,1473495,156093,2464793,221279,2692348,1.11444
202021,X,US,-25,-3.714285714,23.14285714,-37.57142857,-35.71428571,12.85714286,417,,,,7.4,176273,13232.66667,100756,8399,1626709,153214,2635714,212493,2855258,1.00534
202022,X,US,-23.42857143,-3.571428571,40,-36.28571429,-37.14285714,12.42857143,309,,,,6.1,171612.6667,9772.333333,107223,6467,1772108,145399,2994017,213265,3217891,0.88827
202023,X,US,-19.14285714,-0.714285714,38.28571429,-33,-30.42857143,10.57142857,208,,,,4.8,170409.3333,8957,113090,5867,1922168,150060,3332384,210837,3550970,0.814062
202024,X,US,-16.42857143,-0.714285714,49.71428571,-30.28571429,-29.28571429,9.428571429,278,,,,4,168629,7754,118159,5069,2070998,148830,3558625,220311,3786244,0.836751
202025,X,US,-14.28571429,0.571428571,59.42857143,-28,-29,8.428571429,246,,,,4,168949,8286,122313,4154,2253863,182865,3927668,317150,4252812,0.928418
202026,X,US,-15.28571429,-1,56.57142857,-27.42857143,-29.85714286,8.714285714,469,,,,4.5,170405.3333,9816,126175,3862,2514149,260286,4274165,398513,4681406,1.14217
202027,X,US,-13.71428571,2.571428571,64.14285714,-27.71428571,-35.14285714,9,824,,,,5.9,173763,13998.66667,129848,3673,2850717,336568,4712559,526396,5249859,1.27401
202028,X,US,-15.71428571,-2.285714286,52.57142857,-27.71428571,-31.85714286,8.857142857,960,,,,7.6,178810.6667,19313.33333,135136,5288,3255174,404457,5349010,629466,5993086,1.34924
202029,X,US,-14.71428571,-1.428571429,60.28571429,-28.14285714,-30.71428571,8.714285714,18510,,,,8.1,181165.6667,22335,140696,5560,3708546,453372,5901231,657150,6576911,1.34434
202030,X,US,-15.28571429,-3,57,-28.85714286,-30.85714286,8.714285714,32786,,,,7.6,183280,24328.66667,147164,6468,4170613,462067,6129931,632558,6793913,1.22153
202031,X,US,-14.57142857,-2.714285714,57.57142857,-28.28571429,-31.28571429,8.428571429,38501,,,,6.9,183221,24348,155040,7876,4605802,435189,5725307,531333,6282982,1.15258
202032,X,US,-13.85714286,-2.571428571,58,-28.14285714,-31.14285714,8.142857143,33256,,,,6.3,182113.6667,23089,162312,7272,4994624,388822,5569653,443369,6030021,1.0625
202033,X,US,-14.71428571,-3.714285714,56.28571429,-28.28571429,-31,7.714285714,31514,,,,5.6,182483,23376.33333,169376,7064,5386388,391764,5609639,385455,6011303,0.979884
202034,X,US,-15.14285714,-4.571428571,50.14285714,-28.71428571,-30.14285714,7.714285714,30668,,,,5.2,180131.6667,20600,175531,6155,5688164,301776,5517833,335467,5867189,0.968853
202035,X,US,-15.85714286,-5.571428571,41.14285714,-29.42857143,-29.57142857,8,29304,,,,4.4,176341,16428,181842,6311,5978678,290514,5568551,326469,5907465,1.00014
202036,X,US,-13.42857143,-3.285714286,48.71428571,-26.85714286,-29.85714286,6.714285714,27410,,,,4,174534,14417.66667,187651,5809,6265495,286817,5664463,313144,5989611,0.921454
202037,X,US,-15.71428571,-5.714285714,45.14285714,-30.14285714,-34.42857143,7.857142857,27625,,,,3.9,173160.3333,12097.33333,192771,5120,6510222,244727,5333218,263722,5606420,1.03555
202038,X,US,-15,-6,38.71428571,-29.28571429,-27,6.857142857,24455,,,,3.8,173715.3333,11388.66667,198184,5413,6800470,290248,6399518,303922,6713049,0.974333
202039,X,US,-15.28571429,-6.428571429,32.57142857,-30.14285714,-26.42857143,6.857142857,24483,,,,4.3,176335.3333,13490.66667,203497,5313,7093248,292778,6507384,317236,6834537,1.06408
202040,X,US,-14.57142857,-5,22.28571429,-29.71428571,-25.71428571,6.571428571,26996,,,,4.4,174017.3333,10618,208345,4848,7395369,302121,6471842,329455,6809876,1.0872
202041,X,US,-15.14285714,-5.142857143,27.71428571,-29,-26,6.571428571,32669,,,,5.4,179294.6667,14173.66667,213365,5020,7729830,334461,7590393,394097,8000761,1.20898
202042,X,US,-15.71428571,-6.285714286,21.28571429,-29.28571429,-26.57142857,7.428571429,36278,12,,,6.2,175484.3333,9914.333333,218514,5149,8118128,388298,7108851,440349,7572538,1.10874
202043,X,US,-16.57142857,-6.857142857,14.71428571,-29.14285714,-25.14285714,7.285714286,41090,218,,,7.4,179327,12359,224416,5902,8603119,484991,7955465,547979,8532148,1.18588
202044,X,US,-16.71428571,-5.714285714,1.857142857,-31.14285714,-25.42857143,7.857142857,46068,428,,,9.1,181971.3333,14529.66667,230494,6078,9175064,571945,8080429,650963,8761953,1.25
202045,X,US,-16.57142857,-7.428571429,6.142857143,-32.57142857,-25.42857143,7.857142857,55404,477,,,12,192649,24387.33333,237880,7386,9952066,777002,8785653,885540,9696224,1.43782
202046,X,US,-18,-8.142857143,-3.285714286,-34.28571429,-26.57142857,9,69762,585,,,15.5,194504.3333,24868.33333,245999,8119,10980818,1028752,9673736,1185276,10881049,1.48426
202047,X,US,-19.57142857,-7,-7.142857143,-34,-25.85714286,9.142857143,81601,548,,,17.7,200402,29651.33333,256972,10973,12186155,1205337,11385409,1292240,12706165,1.54717
202048,X,US,-24.71428571,-6.428571429,-7.571428571,-38.71428571,-40.57142857,12.28571429,85943,590,,,18.4,203049,30944.66667,268055,11083,13367244,1181089,10379704,1205038,11614495,1.60668
202049,X,US,-19.85714286,-8.571428571,-16,-35.57142857,-26.57142857,9.857142857,94809,577,,,19.2,212390.6667,38778,283786,15731,14735697,1368453,10942716,1494586,12466296,1.56586
202050,X,US,-20,-7.714285714,-14.57142857,-37.42857143,-26.28571429,9.571428571,100590,605,,,19.7,223720,47672.66667,301150,17364,16248679,1512982,11241298,1501507,12772107,1.52073
202051,X,US,-19.57142857,-6,-22,-37,-27.71428571,10.42857143,104346,794,0,0,19,224991,47925,320109,18959,17801747,1553068,10982144,1499821,12516745,1.50659
202052,X,US,-22.42857143,-2.714285714,-17.42857143,-39.14285714,-42.57142857,12.42857143,104873,874,0,0,19,228200.6667,49010,336545,16436,19167118,1365371,9637339,1340652,11012271,1.55413
202053,X,US,-22.28571429,-9.142857143,-12.85714286,-40.57142857,-42.71428571,14.28571429,111218,738,0,0,19.5,234683,53790,355281,18736,20667277,1500159,8986476,1592082,10615506,1.5907
202101,X,US,-23,-10.57142857,-22.85714286,-38.57142857,-27.85714286,11.14285714,117582,665,0,0,20.8,233601.6667,51885.33333,377523,22242,22400668,1733391,11053411,1758674,12852981,1.47569
202102,X,US,-24.85714286,-12.57142857,-20.85714286,-40,-28,10.71428571,109775,660,0,0,18.4,234975,52163.33333,400971,23448,23962483,1561815,11071249,1454849,12564717,1.29196
202103,X,US,-25.14285714,-13.71428571,-18.14285714,-41.14285714,-29.57142857,10.71428571,96408,545,0,0,15.9,225743.3333,43781,422729,21758,25185325,1222842,10640412,1184091,11866812,1.25191
202104,X,US,-26,-14.42857143,-26.28571429,-41.42857143,-27.57142857,10.57142857,82343,593,0,0,13.3,215593.3333,34264.33333,444607,21878,26242007,1056682,10291308,987815,11317350,1.10337
202105,X,US,-24.28571429,-12.71428571,-23,-40.85714286,-27.85714286,10.42857143,70684,516,0,0,11.4,210841.6667,28804.66667,465990,21383,27093678,851671,9788203,779821,10598083,1.16554
202106,X,US,-25.28571429,-11,-28,-40,-28.14285714,10.57142857,57392,482,0,0,8.7,199275.3333,19229.66667,483543,17553,27753519,659841,8533610,583549,9135902,1.00745
202107,X,US,-28,-14.42857143,-27.71428571,-42,-34.71428571,13,47089,481,41186317,0,7.7,196064.3333,15997.33333,496681,13138,28227345,473826,7546870,427450,7988615,0.986987
202108,X,US,-17.71428571,-9.428571429,-10.42857143,-34.14285714,-24.85714286,8.714285714,42497,498,46146289,0,7.1,189932.6667,11220.33333,510632,13951,28710331,482986,8742540,441145,9199288,0.862967
202109,X,US,-15,-6.857142857,-6.714285714,-32.57142857,-24.71428571,7.714285714,36181,466,54389604,28100810,6.2,182892,5815.333333,522627,11995,29134318,423987,8622111,378763,9014158,0.82875
202110,X,US,-13.28571429,-5.428571429,6.285714286,-30.28571429,-25.14285714,7.285714286,33833,425,64566896,34233654,6.4,178372.3333,3796.666667,531277,8650,29514509,380191,8265529,363169,8641269,0.883305
202111,X,US,-9.428571429,-4.571428571,0.571428571,-27.85714286,-26.28571429,7.285714286,32958,416,75615317,41021283,7,174709.3333,1523,538367,7090,29900962,386453,8046299,370338,8428560,0.90874
202112,X,US,-8.428571429,-4.142857143,13.85714286,-25.85714286,-24.57142857,6.571428571,34382,385,87694806,47644860,8.1,176421.6667,2655.333333,545340,6973,30332711,431749,8110994,420461,8544800,0.948022
202113,X,US,-6.428571429,0.857142857,13.57142857,-25.85714286,-27.42857143,6.714285714,35964,369,99698927,56762400,8.7,170374.6667,492,551128,5788,30792617,459906,7983218,453666,8452784,0.974936
202114,X,US,-9.571428571,-2.857142857,27.57142857,-24.42857143,-27.28571429,5.714285714,38741,442,112127275,66824117,10,177206.3333,4825,558016,6888,31272487,479870,8158849,469207,8645925,1.06411
202115,X,US,-8.428571429,-3.142857143,16,-25.57142857,-24.57142857,6,39830,417,125107946,78969973,10.2,171679.3333,2397.333333,563048,5032,31751059,478572,8415433,467777,8896263,1.08168
202116,X,US,-8.714285714,-2.571428571,20.71428571,-24.57142857,-24,6.142857143,37720,493,134275565,89301185,9.2,174814,5494.333333,568083,5035,32164909,413850,8256331,402383,8670362,1.10339
202117,X,US,-7.428571429,-0.857142857,28.85714286,-23.28571429,-24.14285714,5.428571429,34180,425,141676220,99317907,8,174034.3333,5728,572960,4877,32514084,349175,7931404,352060,8294284,1.13164
202118,X,US,-5.571428571,3.285714286,26.57142857,-22.14285714,-23.85714286,4.857142857,30748,344,146935397,108540762,7.2,171767,5239.333333,577651,4691,32807674,293590,7342357,282571,7633613,1.1483
202119,X,US,-6.142857143,2.857142857,33.57142857,-20.71428571,-24.42857143,4.714285714,26231,321,151577437,117730423,5.7,170372.3333,4648.333333,581664,4013,33044413,236739,6797764,220825,7026097,1.19144
202120,X,US,-5.571428571,1.857142857,40.28571429,-20.57142857,-23.28571429,4.714285714,23008,301,157401554,125035619,4.8,171673.6667,6061.666667,585544,3880,33225229,180816,6097669,172102,6275989,1.24686
202121,X,US,-4.285714286,3.285714286,38.57142857,-20.14285714,-24.71428571,4.571428571,20442,295,162310665,130601334,3.7,168080.3333,4173.666667,590027,4483,33370789,145560,5390200,132186,5527193,1.14576
202122,X,US,-4.285714286,4.142857143,54.14285714,-20.71428571,-30.42857143,5.857142857,16660,286,165553952,134422377,2.8,168783,5046.666667,593291,3264,33472690,101901,4806398,97006,4907069,1.18405
202123,X,US,-3.428571429,3.857142857,48.28571429,-18.42857143,-24.57142857,4.571428571,14931,276,168471955,138949515,2.4,168255,5369.333333,595750,2459,33571628,98938,4723172,86047,4813189,1.12999
202124,X,US,-2.857142857,5,55.28571429,-16.42857143,-25.71428571,4.285714286,13521,262,171880518,145139433,1.9,168743.3333,6255.666667,597826,2076,33652345,80717,4353552,80475,4437728,1.19103
202125,X,US,-4.142857143,1.714285714,50.14285714,-16.85714286,-26.28571429,4.428571429,13173,253,173979677,148169846,1.8,167994,6187.666667,599925,2099,33739041,86696,4182445,86045,4271883,1.21258
202126,X,US,-3.428571429,4.571428571,48.57142857,-16.57142857,-27.71428571,4,14431,249,176849290,152417639,1.7,169786,8195.666667,601588,1663,33830090,91049,3808453,106763,3918488,1.2132
202127,X,US,-5.857142857,3.285714286,60.28571429,-18.28571429,-33.42857143,5.714285714,17174,286,178666912,154699542,2.3,168846.6667,7504.333333,603172,1584,33964121,134031,3623250,148174,3774854,1.26708
202128,X,US,-3.428571429,3.142857143,48.28571429,-16.14285714,-26,4.714285714,23050,347,180474466,156682146,3,168436.3333,7539.333333,605093,1921,34187206,223085,4155882,249951,4410675,1.38688
202129,X,US,-3,3.857142857,55,-15.14285714,-26.14285714,4.285714286,33245,318,182581202,158385275,4.2,171380,10394,607015,1922,34551152,363946,4874505,408194,5290075,1.64767
202130,X,US,-3.428571429,3.857142857,49.14285714,-15.85714286,-25.85714286,4.571428571,48236,355,185445745,160083624,6.3,175708,14980.33333,609587,2572,35105200,554048,5661954,618919,6290786,1.799
202131,X,US,-3,5,48,-16,-25.85714286,4.428571429,64193,387,188628641,161769680,8.4,183598.3333,22580.33333,613220,3633,35883955,778755,6939258,800698,7753906,1.94947
202132,X,US,-4.142857143,4.428571429,41.14285714,-17.42857143,-26,4.714285714,78537,335,191863187,163503319,10.3,190455.3333,29591.33333,617870,4650,36795675,911720,7952408,934577,8904542,2.03512
202133,X,US,-4.285714286,4,37.42857143,-18.28571429,-25.42857143,4.285714286,84986,336,195093929,165746066,11.5,196328.3333,35735.33333,625182,7312,37843275,1047600,8642695,1000797,9663112,2.19023
202134,X,US,-6.428571429,2.428571429,31.42857143,-21,-24.85714286,4.857142857,86890,302,198056631,168334709,12.2,201053.6667,40120.66667,634343,9161,38931471,1088196,9974905,1099686,11097104,2.23843
202135,X,US,-5.571428571,3.285714286,32.71428571,-19,-25.42857143,4.571428571,85386,324,200926100,171143993,12.4,203642.6667,42290,645470,11127,40084772,1153301,10570302,1087359,11680773,2.26655
202136,X,US,-6.285714286,2.428571429,44.42857143,-21.28571429,-29.42857143,5.571428571,81007,293,203052329,173405742,11.5,204375,42675,657449,11979,41126196,1041424,10085909,961661,11068079,2.21303
202137,X,US,-5.857142857,1.857142857,34.14285714,-19.14285714,-22.85714286,4.285714286,73182,303,205329172,175934956,10.2,203428,41106,671610,14161,42148020,1021824,10970931,929595,11921643,2.04664
202138,X,US,-6.714285714,0.857142857,32.42857143,-19.14285714,-21,3.857142857,63412,300,207020916,178232361,9.7,200863,38091,686108,14498,42982520,834500,10838372,795934,11652242,1.9014
202139,X,US,-5.714285714,2,32.57142857,-18.42857143,-19.85714286,3.714285714,54583,336,208677379,180040063,8.8,199830.3333,36622,699924,13816,43741975,759455,10404751,703035,11124607,1.84504
202140,X,US,-5.714285714,2.285714286,27.85714286,-18.28571429,-20.14285714,3.857142857,49465,379,210615524,182065692,8.8,194913.3333,30934,711682,11758,44409111,667136,10282892,634296,10931709,2.03726
202141,X,US,-5.428571429,1.285714286,27.42857143,-18.14285714,-21.14285714,3.857142857,45050,368,212269877,183716461,8.4,191518,26686,723444,11762,44998643,589532,9703412,549820,10266151,1.94864
202142,X,US,-5.285714286,0.857142857,24.28571429,-17.85714286,-19.71428571,3.714285714,40035,410,214028241,185348947,7.8,190928.3333,25083,735307,11863,45510898,512255,9627871,503541,10143974,1.92538
202143,X,US,-6.285714286,1.428571429,8.142857143,-20.28571429,-19.42857143,4.285714286,36886,361,214929721,187121635,7.9,190117.6667,22877,744711,9404,46017103,506205,9133153,476941,9621686,1.9789
202144,X,US,-6.142857143,1.571428571,9.285714286,-19.85714286,-19.57142857,4.428571429,35505,410,216842139,188483378,8,191175.3333,23074.66667,753332,8621,46533390,516287,9143816,511522,9669655,2.1334
202145,X,US,-5.571428571,0.571428571,7.285714286,-20.42857143,-20.42857143,4.714285714,37753,499,219446221,189755080,9.4,193902.3333,24736.33333,761876,8544,47102679,569289,9486429,583110,10086843,2.25788
202146,X,US,-5.714285714,1,-0.857142857,-18.42857143,-18.42857143,4.285714286,41355,521,223035860,190888286,10,192230.6667,22224.33333,769960,8084,47750116,647437,9841516,643314,10502721,2.41079
202147,X,US,-11.57142857,2.142857143,-1,-23,-38.28571429,8.285714286,44152,642,225065694,191132568,10.7,194673,22882,775729,5769,48256025,505909,6987349,566282,7572480,2.51762
202148,X,US,-6.571428571,0.428571429,-2.857142857,-18.57142857,-18.28571429,4.714285714,50461,1013,228340894,193131013,12.3,200430,27168.33333,787768,12039,49104719,848694,10493347,826363,11342433,2.55244
202149,X,US,-7.142857143,0.428571429,-10.14285714,-22.28571429,-16.85714286,5,55585,1223,231629275,196136481,13.3,205369.3333,30683.66667,796878,9110,49936879,832160,10315782,788393,11124275,2.72476
202150,X,US,-3.428571429,3.857142857,-8.857142857,-20.14285714,-17,4.428571429,55205,1475,234151423,198264412,13,202262,26475.66667,806207,9329,50848741,911862,10702271,1044911,11771758,3.14645
202151,X,US,-9.571428571,6.142857143,-12,-26.28571429,-39.71428571,8.285714286,61769,1980,235231239,199708887,15.9,204992.3333,27781.33333,816518,10311,52221658,1372917,10327929,1903072,12264742,4.00686
202152,X,US,-13,-2.714285714,-8.428571429,-30.42857143,-44,11.85714286,98698,2771,237159339,200769725,27.4,209977.3333,30903.66667,826015,9497,55096725,2875067,9378368,3442751,12876063,4.90468
202201,X,US,-18,-4.571428571,-22.14285714,-30.85714286,-26.57142857,10.28571429,138016,1992,239137773,201905521,34.9,222327.6667,41752.66667,838291,12276,60071512,4974787,12623331,5212946,17939320,4.32906
202202,X,US,-17.85714286,-4.714285714,-17.42857143,-32.14285714,-23,8.857142857,153599,1651,241450962,203285667,33.1,233987.6667,52438.66667,852699,14408,65719730,5648218,12376099,4691931,17188599,3.5344
202203,X,US,-19.57142857,-9.285714286,-17,-33.57142857,-26.42857143,9.428571429,143221,1134,244701229,205337963,27.2,233558,51463.33333,868067,15368,70773225,5053495,11548607,3989250,15652517,2.82024
202204,X,US,-17.71428571,-8,-14.57142857,-31.57142857,-20.71428571,7.571428571,126377,950,243845616,206625152,21,232336,49641.33333,885929,17862,74521483,3748258,9327161,2454689,11854143,2.06558
202205,X,US,-17.28571429,-6.857142857,-14.42857143,-30.57142857,-22.14285714,8,97037,1137,245052735,207728867,14.6,222983.6667,40599.66667,903495,17566,76628836,2107353,8347631,1414821,9810825,1.68092
202206,X,US,-11.14285714,-2.714285714,-0.571428571,-25,-17.42857143,5.142857143,72727,1256,246037580,208784781,11,214226.6667,32467,919962,16467,77889686,1260850,7962647,828914,8826364,1.44022
202207,X,US,-11.85714286,-3,-3.714285714,-24.57142857,-18.14285714,5.285714286,49780,1574,246916494,209780004,7.4,199450.6667,20096.33333,935657,15695,78617445,727759,7944895,505154,8473263,1.48974
202208,X,US,-11.28571429,-6.857142857,-1.142857143,-25.71428571,-21.42857143,6.142857143,35112,1666,247471436,210468266,5.8,188391,11253.33333,948082,12425,79082021,464576,6513888,307227,6836811,1.46266
202209,X,US,-8.285714286,-3.857142857,5.714285714,-23.14285714,-16.71428571,3.714285714,25561,1943,248117996,211114874,4.3,185880,9140,958085,10003,79419141,337120,6550198,206595,6769874,1.58728
202210,X,US,-12.57142857,-7,-2.714285714,-26,-17.28571429,4.857142857,18680,2247,248552367,211590425,3.1,179693,4843.666667,967130,9045,79657009,237868,5979632,140130,6131253,1.70339
202211,X,US,-9.714285714,-5.857142857,15.71428571,-23.28571429,-19,4.142857143,14332,2878,249042324,212047510,2.6,177041.6667,3483.333333,974164,7034,79872426,215417,6153904,133960,6297318,1.83335
202212,X,US,-10.28571429,-6.285714286,14.14285714,-23.42857143,-17.28571429,3.714285714,12145,3010,249299650,212396442,2.4,171901,844.6666667,979588,5424,80082934,210508,5815229,138750,5963587,1.87057
202213,X,US,-10,-6,10.28571429,-24.14285714,-16.57142857,3.857142857,10497,3182,249730651,212781056,2.1,170858.3333,701,984331,4743,80281714,198780,5440457,150788,5599140,1.97612
202214,X,US,-9,-4.142857143,14.85714286,-22.71428571,-16.71428571,3.571428571,10289,3329,250247085,213293195,2.4,170309.3333,953.3333333,988245,3914,80525649,243935,5314819,191470,5513544,2.07126
202215,X,US,-7.142857143,-0.142857143,23,-22.85714286,-20.14285714,3.571428571,10925,3407,250748246,213786296,3.2,170573,2399,991375,3130,80759747,234098,4599879,242961,4850286,2.16302
202216,X,US,-11.85714286,-6.285714286,25.42857143,-23.14285714,-20,3.285714286,12681,3640,251262488,214245781,3.8,167503.3333,1258,993968,2593,81103110,343363,4246797,242686,4495872,2.20418
202217,X,US,-7,-2,27.57142857,-20.57142857,-15.85714286,2.428571429,15234,3248,251710253,214638739,4.7,169225.6667,3228,996340,2372,81483356,380246,5440854,385627,5835997,2.24681
202218,X,US,-5.142857143,1.428571429,24.71428571,-21.14285714,-16.28571429,2.571428571,18384,3225,252130415,215043684,5.8,170492,5546.333333,999928,3588,82002977,519621,5084418,452156,5547571,2.3613
202219,X,US,-5.285714286,0.285714286,36.71428571,-19.85714286,-17,2.142857143,21396,3297,251864215,215516019,7,171372.6667,7927.666667,1001793,1865,82581415,578438,5340954,575074,5929581,2.48314
202220,X,US,-6.857142857,-1,37.57142857,-19,-17.28571429,2.285714286,25002,3162,252150204,215817227,7.6,170529,7860.666667,1004274,2481,83393214,811799,5599129,678696,6292718,2.45354
202221,X,US,-6.428571429,-0.285714286,36.42857143,-18.42857143,-20.14285714,2.857142857,27224,2791,252567072,216188907,7.3,168622,6944,1006923,2649,84107775,714561,5242445,658460,5915729,2.39624
202222,X,US,-6.857142857,0.142857143,53.71428571,-20,-27.85714286,4,28864,2755,252776648,216403675,7.5,170001.6667,8807.666667,1008909,1986,84880757,772982,4380841,596177,4990052,2.4335
202223,X,US,-7,-0.714285714,45,-17.42857143,-22,3.428571429,30104,2222,252982155,216627563,7.4,171321.6667,10722.66667,1011673,2764,85615649,734892,3842119,534528,4389478,2.16334
202224,X,US,-6.714285714,0.428571429,46.14285714,-16.57142857,-23,3.428571429,30952,1861,253278385,216906884,7.3,170442.3333,10571,1013868,2195,86346784,731135,3714734,585869,4312937,1.98842
202225,X,US,-7.142857143,-0.428571429,52.42857143,-17,-24.85714286,3.571428571,33399,1428,253500518,217101249,8.2,171907.3333,12691.33333,1016304,2436,87054369,707585,3363481,604111,3980934,1.87678
202226,X,US,-6.857142857,1.285714286,51.71428571,-15.57142857,-25,3.571428571,36483,1129,254013184,217244413,8.2,171141.3333,12088.66667,1018198,2446,87869659,815290,2981117,599657,3593159,1.80274
202227,X,US,-10,-0.428571429,62,-20.57142857,-32.57142857,5.142857143,39995,873,254373885,217423264,9,171086.3333,12455.66667,1021167,2969,88602562,732903,3171928,711594,3895454,1.81978
202228,X,US,-8.714285714,-1.714285714,49,-17.28571429,-24.42857143,3.714285714,43665,841,254763569,217642075,9.3,171581,13100.66667,1024146,2979,89548795,946233,3422393,776833,4212745,1.67886
202229,X,US,-8.857142857,-1.428571429,44.85714286,-17.42857143,-24.28571429,5.428571429,45840,699,255230418,217903856,9.5,175180.3333,17014.66667,1027324,3178,90410834,862039,3359931,771114,4144683,1.65939
202230,X,US,-7.714285714,-0.285714286,45.28571429,-16.57142857,-23.85714286,4.142857143,45115,607,255676649,218194293,9.6,171653.3333,13766.66667,1030344,3020,91348667,937833,3172902,710438,3895817,1.67083
202231,X,US,-6.142857143,0.428571429,43.85714286,-16.71428571,-23.71428571,3.857142857,43840,627,255657894,218024811,9.5,172835.6667,14994.33333,1033916,3572,92131633,782966,3212285,667721,3890952,1.52259
202232,X,US,-7.285714286,-0.285714286,42.85714286,-17.14285714,-23.14285714,3.571428571,42321,560,256035586,218359488,9.1,170916,13280.33333,1037298,3382,92939340,807707,3089451,586462,3685750,1.50755
202233,X,US,-6.428571429,-0.428571429,43.57142857,-16.85714286,-22.28571429,5.428571429,39081,573,256367300,218578798,8.7,170326,12732.33333,1040646,3348,93538815,599475,3027709,531925,3568585,1.60507
202234,X,US,-7.857142857,-1.428571429,39.42857143,-17.71428571,-21.28571429,5.571428571,37326,594,256675865,218799482,8.4,169490.3333,11660.66667,1044121,3475,94201375,662560,3101931,504180,3614800,1.83793
202235,X,US,-7,0.571428571,37,-16.71428571,-21.85714286,3.142857143,34896,601,256931541,218988614,7.3,168683.3333,10557.66667,1047747,3626,94752595,551220,2988380,448606,3444947,1.96433
202236,X,US,-8.857142857,-1.285714286,37,-19.71428571,-26.71428571,4.285714286,31936,622,255724506,217975139,6.9,169941,11474.66667,1050532,2785,95248393,495798,2765895,363978,3136752,2.02422
202237,X,US,-8.857142857,-1.714285714,32.42857143,-16.71428571,-18.71428571,2.285714286,29393,642,256017123,218227749,6.3,168062.6667,8880,1053639,3107,95658422,410029,2985324,331796,3323674,2.03552
202238,X,US,-8.857142857,-1.571428571,31.42857143,-16.71428571,-19,2.428571429,27289,739,256390956,218550773,6.1,167236.6667,7662.666667,1056627,2988,96061416,402994,2898549,294489,3198950,2.28376
202239,X,US,-9.571428571,-1.714285714,24.71428571,-18.57142857,-20.28571429,3,24670,891,256704192,218858974,5.5,161468.3333,4006.666667,1059807,3180,96387228,325812,2740500,254308,2999856,2.36082
202240,X,US,-7.857142857,-1,27.42857143,-17.57142857,-18.85714286,2.714285714,23713,1327,258603289,220672940,5.5,152988.3333,1611.666667,1062706,2899,96687361,300133,2611031,229974,2845458,2.60988
