epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr,ili
202215,WI,55,-4.285714286,6,55.28571429,-14.14285714,-15,3.857142857,195,69,4171100,3805334,,1066,0,14390,46,1594940,4735,73137,4541,77773,1.17606
202216,WI,55,-11.42857143,-1.857142857,69,-13.85714286,-15.28571429,3,240,51,4176087,3810631,,1038.666667,0,14403,13,1601444,6504,75863,6863,82847,1.26868
202217,WI,55,-3.857142857,4.285714286,64.14285714,-10.85714286,-10.85714286,2.714285714,339,65,4180949,3815607,,1033.666667,0,14413,10,1610601,9157,81517,8849,90523,1.14104
202218,WI,55,-0.285714286,9,106.4285714,-7.857142857,-11.28571429,1.571428571,385,46,4185360,3820271,,1042,0,14464,51,1623087,12486,83682,11498,95340,1.3125
202219,WI,55,2.571428571,10.28571429,148.1428571,-3.857142857,-12.57142857,1,516,36,4189427,3824799,,1072.666667,26.66666667,14502,38,1639365,16278,88693,14694,103613,1.24171
202220,WI,55,1.285714286,9.714285714,149,-4,-12.57142857,1.142857143,485,28,4193402,3829207,,1069.333333,26.33333333,14531,29,1654808,15443,88987,13263,102427,1.20167
202221,WI,55,1.285714286,12.28571429,153.8571429,-2.571428571,-15.28571429,1.571428571,479,24,4198261,3833900,,1058.333333,25.33333333,14594,71,1669592,14784,82889,13218,96316,1.0737
202222,WI,55,2.857142857,12.42857143,225.7142857,-2.714285714,-24.42857143,2.142857143,484,14,4201292,3837219,,1019.333333,1,14639,45,1683264,13672,72379,11768,84285,0.943443
202223,WI,55,2.285714286,10,173.8571429,-3,-17.57142857,2.142857143,507,15,4204994,3841087,,1053,23,14684,45,1695877,12613,76563,10761,87447,0.900723
202224,WI,55,2.571428571,14.14285714,212.2857143,0.428571429,-19.85714286,1.571428571,478,8,4207779,3843762,,1028.333333,5.333333333,14735,51,1706643,10766,70062,9692,79890,0.72243
202225,WI,55,4.142857143,14,225.8571429,1.285714286,-20.42857143,1.571428571,488,8,4210249,3846186,,1072.333333,49.33333333,14767,32,1717861,11218,67724,9610,77496,0.64818
202226,WI,55,5.285714286,17.71428571,245.5714286,5.285714286,-20.71428571,1.285714286,456,7,4215615,3849301,,1092.666667,65.66666667,14807,40,1728344,10483,63012,9359,72501,0.681439
202227,WI,55,2.714285714,14,277.1428571,-1.285714286,-30.42857143,3.428571429,530,2,4221352,3851633,,980,0,14836,29,1738219,9875,55941,8804,64840,0.576566
202228,WI,55,3.571428571,13,229,1.428571429,-19,2.285714286,598,1,4227662,3855151,,1076.666667,59.66666667,14855,19,1750325,12106,63468,10627,74235,0.580786
202229,WI,55,3.428571429,14.71428571,225,3.142857143,-18.85714286,3.285714286,639,0,4233968,3858313,,1090.666667,70.66666667,14880,25,1763632,13307,65905,11710,77776,0.62156
202230,WI,55,6.142857143,17,241.8571429,5.714285714,-18.71428571,2.142857143,648,3,4239869,3862058,,1044,23,14922,42,1777707,14075,63768,11697,75668,0.552047
202231,WI,55,6.142857143,15.85714286,216.7142857,3.571428571,-18.85714286,2,687,5,4244857,3865589,,1033.333333,10.33333333,14946,24,1790878,13171,60863,10837,71849,0.555239
202232,WI,55,5.428571429,13.57142857,190.2857143,2,-18.57142857,2.428571429,723,1,4249852,3870986,,1087.333333,60.33333333,14980,34,1803137,12259,60883,10156,71185,0.597372
202233,WI,55,5.285714286,13.85714286,191.7142857,6.285714286,-17.57142857,4.428571429,601,1,4254684,3874511,,1002.333333,0,15008,28,1814420,11283,59373,9505,69016,0.568851
202234,WI,55,3.714285714,13.85714286,187.4285714,7.142857143,-17.14285714,4.428571429,617,3,4259254,3877760,,1020.666667,7.333333333,15042,34,1826082,11662,57544,8586,66235,0.639699
202235,WI,55,4.285714286,15,166.1428571,6.285714286,-18.28571429,2.285714286,609,2,4263864,3880908,,1047,24,15091,49,1835416,9334,53495,7304,60876,0.675708
202236,WI,55,1,10.42857143,184.2857143,1.857142857,-23.85714286,2.857142857,551,0,4266818,3882982,,1028.333333,8.666666667,15120,29,1843251,7835,53143,6473,59692,0.799885
202237,WI,55,-1.142857143,8,127.2857143,4.142857143,-14.42857143,1.428571429,548,0,4270893,3886468,,1040,16.33333333,15190,70,1851886,8635,59151,6870,66120,0.932604
