epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask_7d,smoothed_wspent_time_indoors_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202221,GA,13,-6.571428571,2,37.28571429,-2.857142857,-22.57142857,3.428571429,,507,64,6974242,5617411,77.25147489,25.08594939,30.34711966,49.84771323,6.1,0,0,38198,41,2.101238629,2.049444486,2556044,14331,83503,13483,97130
202222,GA,13,-9.428571429,1.714285714,57.85714286,-6.714285714,-30.85714286,4.857142857,,648,63,6983417,5626871,78.2966193,24.89835291,28.82354547,48.60917901,7,0,0,38242,44,2.509883586,2.568686614,2571104,15060,73718,14557,88416
202223,GA,13,-9.428571429,0.5714285714,45.85714286,-4.285714286,-24.28571429,4,,732,38,6990797,5634103,78.08256231,29.00012096,29.54572576,50.27841796,7.5,0,0,38290,56,2.594651971,2.787674786,2588857,17753,48908,9775,58747
202224,GA,13,-9.571428571,1.428571429,41,-3.857142857,-24.71428571,3.857142857,,816,36,6997284,5640850,77.87348919,28.1387375,31.1635279,49.18668564,8.4,0,0,38360,70,2.275306029,2.371113271,2608172,19315,72123,15829,88119
202225,GA,13,-9.857142857,0.7142857143,46.28571429,-4.428571429,-26,4.142857143,,943,26,7003101,5645983,77.47813289,33.48457944,29.00240001,50.66725509,4.3,,,38447,87,3.113014229,3.134974286,2626597,18425,120920,22026,143133
202226,GA,13,-10.4,0,26,-5.2,-26,4.8,,1179,32,7021863,5660833,,,,,,,,38579,132,,,2647568,20971,8722,2455,11190
202001,ID,16,,,,,,,,,,,,,,,,,278,0,,,,,,,,,
202002,ID,16,,,,,,,,,,,,,,,,,292,0,,,,,,,,,
202003,ID,16,,,,,,,112.1283333,,,,,,,,,,293,0,,,,,,,,,
202004,ID,16,,,,,,,109.7557143,,,,,,,,,,275,0,0,0,,,0,0,,,
