epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr,symptom:Fever,symptom:Low-grade fever,symptom:Cough,symptom:Sore throat,symptom:Headache,symptom:Fatigue,symptom:Vomiting,symptom:Diarrhea,symptom:Shortness of breath,symptom:Chest pain,symptom:Dizziness,symptom:Confusion,symptom:Generalized tonic–clonic seizure,symptom:Weakness
202001,X,US,,,,,,,,,,,,8932800.333333334,651607.0,,,,,,,,4.6825,0.225,10.0425,2.8275,4.4975,4.3975,3.5,4.35,0.74,1.42,1.665,0.2175,0.185,0.34750000000000003
202002,X,US,,,,,,,,,,,,8934488.333333334,651858.6666666666,,,,,,,,4.475714285714285,0.2057142857142857,8.751428571428571,2.4614285714285713,4.2457142857142856,4.518571428571429,3.0028571428571427,4.038571428571428,0.7028571428571428,1.3442857142857143,1.5657142857142858,0.2342857142857143,0.2,0.3742857142857143
202003,X,US,,,,,,,,,,,,8930409.333333334,651491.6666666666,,,,,,,,4.658571428571428,0.21714285714285714,7.818571428571429,2.3000000000000003,4.17,4.508571428571428,3.007142857142857,4.011428571428572,0.6900000000000001,1.302857142857143,1.5814285714285714,0.23285714285714285,0.21714285714285714,0.39142857142857146
202004,X,US,,,,,,,,,,,,8929723.333333334,651347.0,1.0,1.0,2.0,2.0,,,,4.881428571428572,0.24000000000000002,8.291428571428572,2.402857142857143,5.021428571428571,4.558571428571429,3.174285714285714,4.131428571428572,0.71,1.3214285714285714,1.612857142857143,0.23285714285714285,0.19857142857142857,0.3885714285714285
202005,X,US,,,,,,,,,,,,8928749.333333334,651342.0,1.0,0.0,8.0,6.0,,,,5.262857142857143,0.2814285714285714,8.821428571428571,2.5785714285714287,4.268571428571429,4.598571428571428,3.192857142857143,4.134285714285714,0.7571428571428571,1.3585714285714285,1.6542857142857144,0.2414285714285714,0.20142857142857143,0.39428571428571424
202006,X,US,,,,,,,,,,,,8930697.333333334,651529.6666666666,1.0,0.0,12.0,4.0,,,,5.25,0.2842857142857143,8.781428571428572,2.657142857142857,4.191428571428571,4.575714285714286,3.2800000000000002,4.132857142857143,0.777142857142857,1.3642857142857143,1.562857142857143,0.2357142857142857,0.19285714285714287,0.39571428571428574
202007,X,US,6.0,2.0,15.0,3.0,2.0,-1.0,,,,,,8928697.333333334,651375.3333333334,1.0,0.0,14.0,2.0,,,,4.99,0.26285714285714284,8.292857142857143,2.575714285714286,4.21,4.55,3.1999999999999997,4.101428571428571,0.7485714285714286,1.3542857142857143,1.587142857142857,0.24,0.20142857142857143,0.39285714285714285
202008,X,US,3.5714285714285716,0.14285714285714285,12.714285714285714,0.14285714285714285,-2.7142857142857144,0.7142857142857143,,,,,,8929050.333333334,651417.3333333334,1.0,0.0,16.0,2.0,,,,4.784285714285715,0.25,8.062857142857142,2.552857142857143,4.341428571428572,4.681428571428571,3.1485714285714286,4.087142857142857,0.7571428571428571,1.352857142857143,1.6300000000000001,0.24285714285714285,0.19857142857142857,0.40857142857142853
202009,X,US,6.857142857142857,2.857142857142857,12.714285714285714,3.857142857142857,2.4285714285714284,-0.7142857142857143,,,,,,8930305.333333334,651373.3333333334,2.0,1.0,26.0,10.0,,,,5.112857142857143,0.24571428571428572,8.202857142857143,2.5471428571428567,4.234285714285714,4.581428571428572,3.0942857142857143,4.147142857142858,0.7828571428571429,1.3242857142857143,1.592857142857143,0.2542857142857143,0.19285714285714287,0.43285714285714283
202010,X,US,8.857142857142858,7.0,18.142857142857142,3.5714285714285716,3.0,-1.0,,,,,0.1,8931364.333333334,651692.6666666666,18.0,16.0,417.0,391.0,5996.0,733.0,6755.0,5.545714285714285,0.2871428571428571,9.23857142857143,2.9857142857142853,4.071428571428571,4.507142857142857,3.0342857142857143,4.151428571428571,0.8842857142857143,1.3257142857142858,1.5271428571428571,0.33,0.19142857142857145,0.4057142857142857
202011,X,US,4.571428571428571,13.857142857142858,20.142857142857142,-3.857142857142857,-1.7142857142857142,1.0,,,,,0.6,8928244.0,651393.0,61.0,43.0,2952.0,2535.0,40535.0,4469.0,45139.0,9.172857142857143,0.5057142857142857,12.494285714285715,3.3957142857142855,3.8200000000000003,4.502857142857143,2.9257142857142857,4.427142857142857,1.2942857142857143,1.4314285714285713,1.3800000000000001,0.3,0.16999999999999998,0.40714285714285714
202012,X,US,-22.714285714285715,9.285714285714286,2.142857142857143,-28.571428571428573,-25.428571428571427,11.142857142857142,,,,,2.9,8929175.0,651539.6666666666,482.0,421.0,26056.0,23104.0,294544.0,44377.0,339255.0,15.585714285714285,0.8228571428571428,12.854285714285714,4.05,4.195714285714286,3.7028571428571433,2.4557142857142855,4.195714285714286,1.8071428571428572,1.7442857142857144,1.22,0.20142857142857143,0.1385714285714286,0.3485714285714286
202013,X,US,-41.57142857142857,-14.142857142857142,-11.571428571428571,-47.142857142857146,-41.42857142857143,17.428571428571427,,,,,7.6,8936822.666666666,657920.6666666666,3018.0,2536.0,127417.0,101361.0,616334.0,136090.0,753123.0,11.005714285714287,0.7271428571428571,9.56857142857143,2.942857142857143,4.45,3.755714285714286,2.2671428571428573,3.755714285714286,1.75,1.8671428571428572,1.3228571428571427,0.21714285714285714,0.1385714285714286,0.3528571428571428
202014,X,US,-42.0,-15.0,-15.857142857142858,-50.0,-45.857142857142854,18.428571428571427,,,,,9.5,8955006.0,677416.6666666666,11578.0,8560.0,323953.0,196536.0,789079.0,210165.0,1000811.0,8.541428571428572,0.5585714285714285,7.558571428571428,2.357142857142857,4.424285714285714,3.86,2.197142857142857,3.572857142857143,1.5285714285714285,1.7857142857142858,1.3657142857142859,0.21714285714285714,0.1457142857142857,0.3728571428571429
202015,X,US,-43.714285714285715,-14.0,-13.714285714285714,-52.142857142857146,-48.285714285714285,19.285714285714285,515.0,,,,9.2,8968178.0,692625.6666666666,26286.0,14708.0,545298.0,221345.0,940241.0,236777.0,1179621.0,6.58,0.43571428571428567,5.954285714285715,1.9714285714285715,4.251428571428571,3.7199999999999998,2.14,3.394285714285714,1.2785714285714285,1.6485714285714284,1.4028571428571428,0.24428571428571427,0.15,0.3385714285714286
